document,context_length,representative_model,available_tokens,procedure_tokens,circumstances_tokens,decision_tokens,total_tokens,fits_individually,fits_combined,procedure_fits,circumstances_fits,decision_fits
file:/C:/Users/mnavas/CASE%20OF%20ALTAY%20v.%20TURKEY%20(No.%202).docx,4096,gpt-3.5-turbo,3096,219,1694,296,2209,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20ALTAY%20v.%20TURKEY%20(No.%202).docx,8192,gpt-4,7192,219,1694,296,2209,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20ALTAY%20v.%20TURKEY%20(No.%202).docx,16384,gpt-3.5-turbo-16k,15384,219,1694,296,2209,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20ALTAY%20v.%20TURKEY%20(No.%202).docx,32768,gpt-4-32k,31768,219,1694,296,2209,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20ALTAY%20v.%20TURKEY%20(No.%202).docx,128000,gpt-4-turbo,127000,219,1694,296,2209,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20ALTAY%20v.%20TURKEY%20(No.%202).docx,200000,claude-3-haiku,199000,219,1694,296,2209,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20ALTAY%20v.%20TURKEY%20(No.%202).docx,1000000,gemini-1.5-flash,999000,219,1694,296,2209,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20ALTAY%20v.%20TURKEY%20(No.%202).docx,2000000,gemini-1.5-pro,1999000,219,1694,296,2209,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20BELYAYEV%20AND%20OTHERS%20v.%20UKRAINE.docx,4096,gpt-3.5-turbo,3096,391,1091,321,1803,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20BELYAYEV%20AND%20OTHERS%20v.%20UKRAINE.docx,8192,gpt-4,7192,391,1091,321,1803,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20BELYAYEV%20AND%20OTHERS%20v.%20UKRAINE.docx,16384,gpt-3.5-turbo-16k,15384,391,1091,321,1803,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20BELYAYEV%20AND%20OTHERS%20v.%20UKRAINE.docx,32768,gpt-4-32k,31768,391,1091,321,1803,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20BELYAYEV%20AND%20OTHERS%20v.%20UKRAINE.docx,128000,gpt-4-turbo,127000,391,1091,321,1803,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20BELYAYEV%20AND%20OTHERS%20v.%20UKRAINE.docx,200000,claude-3-haiku,199000,391,1091,321,1803,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20BELYAYEV%20AND%20OTHERS%20v.%20UKRAINE.docx,1000000,gemini-1.5-flash,999000,391,1091,321,1803,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20BELYAYEV%20AND%20OTHERS%20v.%20UKRAINE.docx,2000000,gemini-1.5-pro,1999000,391,1091,321,1803,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20BIGUN%20v.%20UKRAINE.docx,4096,gpt-3.5-turbo,3096,178,1850,327,2355,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20BIGUN%20v.%20UKRAINE.docx,8192,gpt-4,7192,178,1850,327,2355,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20BIGUN%20v.%20UKRAINE.docx,16384,gpt-3.5-turbo-16k,15384,178,1850,327,2355,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20BIGUN%20v.%20UKRAINE.docx,32768,gpt-4-32k,31768,178,1850,327,2355,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20BIGUN%20v.%20UKRAINE.docx,128000,gpt-4-turbo,127000,178,1850,327,2355,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20BIGUN%20v.%20UKRAINE.docx,200000,claude-3-haiku,199000,178,1850,327,2355,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20BIGUN%20v.%20UKRAINE.docx,1000000,gemini-1.5-flash,999000,178,1850,327,2355,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20BIGUN%20v.%20UKRAINE.docx,2000000,gemini-1.5-pro,1999000,178,1850,327,2355,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20CABUCAK%20v.%20GERMANY.docx,4096,gpt-3.5-turbo,3096,239,3399,78,3716,False,False,True,False,True
file:/C:/Users/mnavas/CASE%20OF%20CABUCAK%20v.%20GERMANY.docx,8192,gpt-4,7192,239,3399,78,3716,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20CABUCAK%20v.%20GERMANY.docx,16384,gpt-3.5-turbo-16k,15384,239,3399,78,3716,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20CABUCAK%20v.%20GERMANY.docx,32768,gpt-4-32k,31768,239,3399,78,3716,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20CABUCAK%20v.%20GERMANY.docx,128000,gpt-4-turbo,127000,239,3399,78,3716,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20CABUCAK%20v.%20GERMANY.docx,200000,claude-3-haiku,199000,239,3399,78,3716,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20CABUCAK%20v.%20GERMANY.docx,1000000,gemini-1.5-flash,999000,239,3399,78,3716,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20CABUCAK%20v.%20GERMANY.docx,2000000,gemini-1.5-pro,1999000,239,3399,78,3716,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20CAN%20v.%20TURKEY.docx,4096,gpt-3.5-turbo,3096,180,665,230,1075,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20CAN%20v.%20TURKEY.docx,8192,gpt-4,7192,180,665,230,1075,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20CAN%20v.%20TURKEY.docx,16384,gpt-3.5-turbo-16k,15384,180,665,230,1075,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20CAN%20v.%20TURKEY.docx,32768,gpt-4-32k,31768,180,665,230,1075,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20CAN%20v.%20TURKEY.docx,128000,gpt-4-turbo,127000,180,665,230,1075,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20CAN%20v.%20TURKEY.docx,200000,claude-3-haiku,199000,180,665,230,1075,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20CAN%20v.%20TURKEY.docx,1000000,gemini-1.5-flash,999000,180,665,230,1075,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20CAN%20v.%20TURKEY.docx,2000000,gemini-1.5-pro,1999000,180,665,230,1075,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20CRISTIAN%20CATALIN%20UNGUREANU%20v.%20ROMANIA.docx,4096,gpt-3.5-turbo,3096,186,1252,334,1772,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20CRISTIAN%20CATALIN%20UNGUREANU%20v.%20ROMANIA.docx,8192,gpt-4,7192,186,1252,334,1772,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20CRISTIAN%20CATALIN%20UNGUREANU%20v.%20ROMANIA.docx,16384,gpt-3.5-turbo-16k,15384,186,1252,334,1772,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20CRISTIAN%20CATALIN%20UNGUREANU%20v.%20ROMANIA.docx,32768,gpt-4-32k,31768,186,1252,334,1772,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20CRISTIAN%20CATALIN%20UNGUREANU%20v.%20ROMANIA.docx,128000,gpt-4-turbo,127000,186,1252,334,1772,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20CRISTIAN%20CATALIN%20UNGUREANU%20v.%20ROMANIA.docx,200000,claude-3-haiku,199000,186,1252,334,1772,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20CRISTIAN%20CATALIN%20UNGUREANU%20v.%20ROMANIA.docx,1000000,gemini-1.5-flash,999000,186,1252,334,1772,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20CRISTIAN%20CATALIN%20UNGUREANU%20v.%20ROMANIA.docx,2000000,gemini-1.5-pro,1999000,186,1252,334,1772,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20DOKTOROV%20v.%20BULGARIA.docx,4096,gpt-3.5-turbo,3096,206,675,115,996,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20DOKTOROV%20v.%20BULGARIA.docx,8192,gpt-4,7192,206,675,115,996,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20DOKTOROV%20v.%20BULGARIA.docx,16384,gpt-3.5-turbo-16k,15384,206,675,115,996,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20DOKTOROV%20v.%20BULGARIA.docx,32768,gpt-4-32k,31768,206,675,115,996,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20DOKTOROV%20v.%20BULGARIA.docx,128000,gpt-4-turbo,127000,206,675,115,996,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20DOKTOROV%20v.%20BULGARIA.docx,200000,claude-3-haiku,199000,206,675,115,996,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20DOKTOROV%20v.%20BULGARIA.docx,1000000,gemini-1.5-flash,999000,206,675,115,996,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20DOKTOROV%20v.%20BULGARIA.docx,2000000,gemini-1.5-pro,1999000,206,675,115,996,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20EGILL%20EINARSSON%20v.%20ICELAND%20(No.%202).docx,4096,gpt-3.5-turbo,3096,197,2531,78,2806,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20EGILL%20EINARSSON%20v.%20ICELAND%20(No.%202).docx,8192,gpt-4,7192,197,2531,78,2806,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20EGILL%20EINARSSON%20v.%20ICELAND%20(No.%202).docx,16384,gpt-3.5-turbo-16k,15384,197,2531,78,2806,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20EGILL%20EINARSSON%20v.%20ICELAND%20(No.%202).docx,32768,gpt-4-32k,31768,197,2531,78,2806,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20EGILL%20EINARSSON%20v.%20ICELAND%20(No.%202).docx,128000,gpt-4-turbo,127000,197,2531,78,2806,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20EGILL%20EINARSSON%20v.%20ICELAND%20(No.%202).docx,200000,claude-3-haiku,199000,197,2531,78,2806,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20EGILL%20EINARSSON%20v.%20ICELAND%20(No.%202).docx,1000000,gemini-1.5-flash,999000,197,2531,78,2806,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20EGILL%20EINARSSON%20v.%20ICELAND%20(No.%202).docx,2000000,gemini-1.5-pro,1999000,197,2531,78,2806,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20H_INESS%20v.%20NORWAY%20(1).docx,4096,gpt-3.5-turbo,3096,232,7314,78,7624,False,False,True,False,True
file:/C:/Users/mnavas/CASE%20OF%20H_INESS%20v.%20NORWAY%20(1).docx,8192,gpt-4,7192,232,7314,78,7624,False,False,True,False,True
file:/C:/Users/mnavas/CASE%20OF%20H_INESS%20v.%20NORWAY%20(1).docx,16384,gpt-3.5-turbo-16k,15384,232,7314,78,7624,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20H_INESS%20v.%20NORWAY%20(1).docx,32768,gpt-4-32k,31768,232,7314,78,7624,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20H_INESS%20v.%20NORWAY%20(1).docx,128000,gpt-4-turbo,127000,232,7314,78,7624,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20H_INESS%20v.%20NORWAY%20(1).docx,200000,claude-3-haiku,199000,232,7314,78,7624,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20H_INESS%20v.%20NORWAY%20(1).docx,1000000,gemini-1.5-flash,999000,232,7314,78,7624,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20H_INESS%20v.%20NORWAY%20(1).docx,2000000,gemini-1.5-pro,1999000,232,7314,78,7624,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20KOSAITE%20-%20CYPIENE%20AND%20OTHERS%20v.%20LITHUANIA.docx,4096,gpt-3.5-turbo,3096,293,4186,78,4557,False,False,True,False,True
file:/C:/Users/mnavas/CASE%20OF%20KOSAITE%20-%20CYPIENE%20AND%20OTHERS%20v.%20LITHUANIA.docx,8192,gpt-4,7192,293,4186,78,4557,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20KOSAITE%20-%20CYPIENE%20AND%20OTHERS%20v.%20LITHUANIA.docx,16384,gpt-3.5-turbo-16k,15384,293,4186,78,4557,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20KOSAITE%20-%20CYPIENE%20AND%20OTHERS%20v.%20LITHUANIA.docx,32768,gpt-4-32k,31768,293,4186,78,4557,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20KOSAITE%20-%20CYPIENE%20AND%20OTHERS%20v.%20LITHUANIA.docx,128000,gpt-4-turbo,127000,293,4186,78,4557,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20KOSAITE%20-%20CYPIENE%20AND%20OTHERS%20v.%20LITHUANIA.docx,200000,claude-3-haiku,199000,293,4186,78,4557,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20KOSAITE%20-%20CYPIENE%20AND%20OTHERS%20v.%20LITHUANIA.docx,1000000,gemini-1.5-flash,999000,293,4186,78,4557,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20KOSAITE%20-%20CYPIENE%20AND%20OTHERS%20v.%20LITHUANIA.docx,2000000,gemini-1.5-pro,1999000,293,4186,78,4557,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20LOZOVYYE%20v.%20RUSSIA.docx,4096,gpt-3.5-turbo,3096,197,1770,322,2289,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20LOZOVYYE%20v.%20RUSSIA.docx,8192,gpt-4,7192,197,1770,322,2289,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20LOZOVYYE%20v.%20RUSSIA.docx,16384,gpt-3.5-turbo-16k,15384,197,1770,322,2289,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20LOZOVYYE%20v.%20RUSSIA.docx,32768,gpt-4-32k,31768,197,1770,322,2289,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20LOZOVYYE%20v.%20RUSSIA.docx,128000,gpt-4-turbo,127000,197,1770,322,2289,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20LOZOVYYE%20v.%20RUSSIA.docx,200000,claude-3-haiku,199000,197,1770,322,2289,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20LOZOVYYE%20v.%20RUSSIA.docx,1000000,gemini-1.5-flash,999000,197,1770,322,2289,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20LOZOVYYE%20v.%20RUSSIA.docx,2000000,gemini-1.5-pro,1999000,197,1770,322,2289,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20M.T.%20v.%20UKRAINE.docx,4096,gpt-3.5-turbo,3096,210,982,286,1478,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20M.T.%20v.%20UKRAINE.docx,8192,gpt-4,7192,210,982,286,1478,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20M.T.%20v.%20UKRAINE.docx,16384,gpt-3.5-turbo-16k,15384,210,982,286,1478,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20M.T.%20v.%20UKRAINE.docx,32768,gpt-4-32k,31768,210,982,286,1478,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20M.T.%20v.%20UKRAINE.docx,128000,gpt-4-turbo,127000,210,982,286,1478,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20M.T.%20v.%20UKRAINE.docx,200000,claude-3-haiku,199000,210,982,286,1478,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20M.T.%20v.%20UKRAINE.docx,1000000,gemini-1.5-flash,999000,210,982,286,1478,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20M.T.%20v.%20UKRAINE.docx,2000000,gemini-1.5-pro,1999000,210,982,286,1478,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20MOSKALEV%20v.%20RUSSIA.docx,4096,gpt-3.5-turbo,3096,177,967,303,1447,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20MOSKALEV%20v.%20RUSSIA.docx,8192,gpt-4,7192,177,967,303,1447,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20MOSKALEV%20v.%20RUSSIA.docx,16384,gpt-3.5-turbo-16k,15384,177,967,303,1447,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20MOSKALEV%20v.%20RUSSIA.docx,32768,gpt-4-32k,31768,177,967,303,1447,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20MOSKALEV%20v.%20RUSSIA.docx,128000,gpt-4-turbo,127000,177,967,303,1447,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20MOSKALEV%20v.%20RUSSIA.docx,200000,claude-3-haiku,199000,177,967,303,1447,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20MOSKALEV%20v.%20RUSSIA.docx,1000000,gemini-1.5-flash,999000,177,967,303,1447,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20MOSKALEV%20v.%20RUSSIA.docx,2000000,gemini-1.5-pro,1999000,177,967,303,1447,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20MURUZHEVA%20v.%20RUSSIA.docx,4096,gpt-3.5-turbo,3096,219,2068,299,2586,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20MURUZHEVA%20v.%20RUSSIA.docx,8192,gpt-4,7192,219,2068,299,2586,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20MURUZHEVA%20v.%20RUSSIA.docx,16384,gpt-3.5-turbo-16k,15384,219,2068,299,2586,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20MURUZHEVA%20v.%20RUSSIA.docx,32768,gpt-4-32k,31768,219,2068,299,2586,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20MURUZHEVA%20v.%20RUSSIA.docx,128000,gpt-4-turbo,127000,219,2068,299,2586,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20MURUZHEVA%20v.%20RUSSIA.docx,200000,claude-3-haiku,199000,219,2068,299,2586,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20MURUZHEVA%20v.%20RUSSIA.docx,1000000,gemini-1.5-flash,999000,219,2068,299,2586,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20MURUZHEVA%20v.%20RUSSIA.docx,2000000,gemini-1.5-pro,1999000,219,2068,299,2586,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20_NODI%20v.%20HUNGARY.docx,4096,gpt-3.5-turbo,3096,201,1809,279,2289,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20_NODI%20v.%20HUNGARY.docx,8192,gpt-4,7192,201,1809,279,2289,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20_NODI%20v.%20HUNGARY.docx,16384,gpt-3.5-turbo-16k,15384,201,1809,279,2289,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20_NODI%20v.%20HUNGARY.docx,32768,gpt-4-32k,31768,201,1809,279,2289,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20_NODI%20v.%20HUNGARY.docx,128000,gpt-4-turbo,127000,201,1809,279,2289,True,True,True,True,True
