document,context_length,representative_model,available_tokens,procedure_tokens,circumstances_tokens,decision_tokens,total_tokens,fits_individually,fits_combined,procedure_fits,circumstances_fits,decision_fits
file:/C:/Users/mnavas/CASE%20OF%20_NODI%20v.%20HUNGARY.docx,200000,claude-3-haiku,199000,201,1809,279,2289,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20_NODI%20v.%20HUNGARY.docx,1000000,gemini-1.5-flash,999000,201,1809,279,2289,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20_NODI%20v.%20HUNGARY.docx,2000000,gemini-1.5-pro,1999000,201,1809,279,2289,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20O.C.I.%20AND%20OTHERS%20v.%20ROMANIA.docx,4096,gpt-3.5-turbo,3096,286,1834,293,2413,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20O.C.I.%20AND%20OTHERS%20v.%20ROMANIA.docx,8192,gpt-4,7192,286,1834,293,2413,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20O.C.I.%20AND%20OTHERS%20v.%20ROMANIA.docx,16384,gpt-3.5-turbo-16k,15384,286,1834,293,2413,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20O.C.I.%20AND%20OTHERS%20v.%20ROMANIA.docx,32768,gpt-4-32k,31768,286,1834,293,2413,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20O.C.I.%20AND%20OTHERS%20v.%20ROMANIA.docx,128000,gpt-4-turbo,127000,286,1834,293,2413,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20O.C.I.%20AND%20OTHERS%20v.%20ROMANIA.docx,200000,claude-3-haiku,199000,286,1834,293,2413,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20O.C.I.%20AND%20OTHERS%20v.%20ROMANIA.docx,1000000,gemini-1.5-flash,999000,286,1834,293,2413,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20O.C.I.%20AND%20OTHERS%20v.%20ROMANIA.docx,2000000,gemini-1.5-pro,1999000,286,1834,293,2413,True,True,True,True,True
file:/C:/Users/mnavas/Desktop/CASE%20OF%20OTGON%20v.%20THE%20REPUBLIC%20OF%20MOLDOVA.docx,4096,gpt-3.5-turbo,3096,150,532,232,914,True,True,True,True,True
file:/C:/Users/mnavas/Desktop/CASE%20OF%20OTGON%20v.%20THE%20REPUBLIC%20OF%20MOLDOVA.docx,8192,gpt-4,7192,150,532,232,914,True,True,True,True,True
file:/C:/Users/mnavas/Desktop/CASE%20OF%20OTGON%20v.%20THE%20REPUBLIC%20OF%20MOLDOVA.docx,16384,gpt-3.5-turbo-16k,15384,150,532,232,914,True,True,True,True,True
file:/C:/Users/mnavas/Desktop/CASE%20OF%20OTGON%20v.%20THE%20REPUBLIC%20OF%20MOLDOVA.docx,32768,gpt-4-32k,31768,150,532,232,914,True,True,True,True,True
file:/C:/Users/mnavas/Desktop/CASE%20OF%20OTGON%20v.%20THE%20REPUBLIC%20OF%20MOLDOVA.docx,128000,gpt-4-turbo,127000,150,532,232,914,True,True,True,True,True
file:/C:/Users/mnavas/Desktop/CASE%20OF%20OTGON%20v.%20THE%20REPUBLIC%20OF%20MOLDOVA.docx,200000,claude-3-haiku,199000,150,532,232,914,True,True,True,True,True
file:/C:/Users/mnavas/Desktop/CASE%20OF%20OTGON%20v.%20THE%20REPUBLIC%20OF%20MOLDOVA.docx,1000000,gemini-1.5-flash,999000,150,532,232,914,True,True,True,True,True
file:/C:/Users/mnavas/Desktop/CASE%20OF%20OTGON%20v.%20THE%20REPUBLIC%20OF%20MOLDOVA.docx,2000000,gemini-1.5-pro,1999000,150,532,232,914,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20PAKHTUSOV%20v.%20RUSSIA.docx,4096,gpt-3.5-turbo,3096,192,1116,299,1607,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20PAKHTUSOV%20v.%20RUSSIA.docx,8192,gpt-4,7192,192,1116,299,1607,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20PAKHTUSOV%20v.%20RUSSIA.docx,16384,gpt-3.5-turbo-16k,15384,192,1116,299,1607,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20PAKHTUSOV%20v.%20RUSSIA.docx,32768,gpt-4-32k,31768,192,1116,299,1607,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20PAKHTUSOV%20v.%20RUSSIA.docx,128000,gpt-4-turbo,127000,192,1116,299,1607,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20PAKHTUSOV%20v.%20RUSSIA.docx,200000,claude-3-haiku,199000,192,1116,299,1607,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20PAKHTUSOV%20v.%20RUSSIA.docx,1000000,gemini-1.5-flash,999000,192,1116,299,1607,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20PAKHTUSOV%20v.%20RUSSIA.docx,2000000,gemini-1.5-pro,1999000,192,1116,299,1607,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20PANYUSHKINY%20v.%20RUSSIA.docx,4096,gpt-3.5-turbo,3096,247,1926,261,2434,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20PANYUSHKINY%20v.%20RUSSIA.docx,8192,gpt-4,7192,247,1926,261,2434,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20PANYUSHKINY%20v.%20RUSSIA.docx,16384,gpt-3.5-turbo-16k,15384,247,1926,261,2434,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20PANYUSHKINY%20v.%20RUSSIA.docx,32768,gpt-4-32k,31768,247,1926,261,2434,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20PANYUSHKINY%20v.%20RUSSIA.docx,128000,gpt-4-turbo,127000,247,1926,261,2434,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20PANYUSHKINY%20v.%20RUSSIA.docx,200000,claude-3-haiku,199000,247,1926,261,2434,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20PANYUSHKINY%20v.%20RUSSIA.docx,1000000,gemini-1.5-flash,999000,247,1926,261,2434,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20PANYUSHKINY%20v.%20RUSSIA.docx,2000000,gemini-1.5-pro,1999000,247,1926,261,2434,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20RESIN%20v.%20RUSSIA.docx,4096,gpt-3.5-turbo,3096,210,1361,312,1883,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20RESIN%20v.%20RUSSIA.docx,8192,gpt-4,7192,210,1361,312,1883,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20RESIN%20v.%20RUSSIA.docx,16384,gpt-3.5-turbo-16k,15384,210,1361,312,1883,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20RESIN%20v.%20RUSSIA.docx,32768,gpt-4-32k,31768,210,1361,312,1883,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20RESIN%20v.%20RUSSIA.docx,128000,gpt-4-turbo,127000,210,1361,312,1883,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20RESIN%20v.%20RUSSIA.docx,200000,claude-3-haiku,199000,210,1361,312,1883,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20RESIN%20v.%20RUSSIA.docx,1000000,gemini-1.5-flash,999000,210,1361,312,1883,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20RESIN%20v.%20RUSSIA.docx,2000000,gemini-1.5-pro,1999000,210,1361,312,1883,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20S.N.%20v.%20RUSSIA.docx,4096,gpt-3.5-turbo,3096,347,2115,283,2745,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20S.N.%20v.%20RUSSIA.docx,8192,gpt-4,7192,347,2115,283,2745,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20S.N.%20v.%20RUSSIA.docx,16384,gpt-3.5-turbo-16k,15384,347,2115,283,2745,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20S.N.%20v.%20RUSSIA.docx,32768,gpt-4-32k,31768,347,2115,283,2745,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20S.N.%20v.%20RUSSIA.docx,128000,gpt-4-turbo,127000,347,2115,283,2745,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20S.N.%20v.%20RUSSIA.docx,200000,claude-3-haiku,199000,347,2115,283,2745,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20S.N.%20v.%20RUSSIA.docx,1000000,gemini-1.5-flash,999000,347,2115,283,2745,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20S.N.%20v.%20RUSSIA.docx,2000000,gemini-1.5-pro,1999000,347,2115,283,2745,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20S.V.%20v.%20ITALY.docx,4096,gpt-3.5-turbo,3096,235,2345,270,2850,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20S.V.%20v.%20ITALY.docx,8192,gpt-4,7192,235,2345,270,2850,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20S.V.%20v.%20ITALY.docx,16384,gpt-3.5-turbo-16k,15384,235,2345,270,2850,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20S.V.%20v.%20ITALY.docx,32768,gpt-4-32k,31768,235,2345,270,2850,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20S.V.%20v.%20ITALY.docx,128000,gpt-4-turbo,127000,235,2345,270,2850,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20S.V.%20v.%20ITALY.docx,200000,claude-3-haiku,199000,235,2345,270,2850,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20S.V.%20v.%20ITALY.docx,1000000,gemini-1.5-flash,999000,235,2345,270,2850,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20S.V.%20v.%20ITALY.docx,2000000,gemini-1.5-pro,1999000,235,2345,270,2850,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20SHVIDKIYE%20v.%20RUSSIA.docx,4096,gpt-3.5-turbo,3096,253,1422,312,1987,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20SHVIDKIYE%20v.%20RUSSIA.docx,8192,gpt-4,7192,253,1422,312,1987,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20SHVIDKIYE%20v.%20RUSSIA.docx,16384,gpt-3.5-turbo-16k,15384,253,1422,312,1987,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20SHVIDKIYE%20v.%20RUSSIA.docx,32768,gpt-4-32k,31768,253,1422,312,1987,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20SHVIDKIYE%20v.%20RUSSIA.docx,128000,gpt-4-turbo,127000,253,1422,312,1987,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20SHVIDKIYE%20v.%20RUSSIA.docx,200000,claude-3-haiku,199000,253,1422,312,1987,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20SHVIDKIYE%20v.%20RUSSIA.docx,1000000,gemini-1.5-flash,999000,253,1422,312,1987,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20SHVIDKIYE%20v.%20RUSSIA.docx,2000000,gemini-1.5-pro,1999000,253,1422,312,1987,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20SIDOROVA%20v.%20RUSSIA.docx,4096,gpt-3.5-turbo,3096,206,973,243,1422,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20SIDOROVA%20v.%20RUSSIA.docx,8192,gpt-4,7192,206,973,243,1422,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20SIDOROVA%20v.%20RUSSIA.docx,16384,gpt-3.5-turbo-16k,15384,206,973,243,1422,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20SIDOROVA%20v.%20RUSSIA.docx,32768,gpt-4-32k,31768,206,973,243,1422,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20SIDOROVA%20v.%20RUSSIA.docx,128000,gpt-4-turbo,127000,206,973,243,1422,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20SIDOROVA%20v.%20RUSSIA.docx,200000,claude-3-haiku,199000,206,973,243,1422,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20SIDOROVA%20v.%20RUSSIA.docx,1000000,gemini-1.5-flash,999000,206,973,243,1422,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20SIDOROVA%20v.%20RUSSIA.docx,2000000,gemini-1.5-pro,1999000,206,973,243,1422,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20SOLCAN%20v.%20ROMANIA.docx,4096,gpt-3.5-turbo,3096,233,1103,210,1546,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20SOLCAN%20v.%20ROMANIA.docx,8192,gpt-4,7192,233,1103,210,1546,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20SOLCAN%20v.%20ROMANIA.docx,16384,gpt-3.5-turbo-16k,15384,233,1103,210,1546,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20SOLCAN%20v.%20ROMANIA.docx,32768,gpt-4-32k,31768,233,1103,210,1546,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20SOLCAN%20v.%20ROMANIA.docx,128000,gpt-4-turbo,127000,233,1103,210,1546,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20SOLCAN%20v.%20ROMANIA.docx,200000,claude-3-haiku,199000,233,1103,210,1546,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20SOLCAN%20v.%20ROMANIA.docx,1000000,gemini-1.5-flash,999000,233,1103,210,1546,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20SOLCAN%20v.%20ROMANIA.docx,2000000,gemini-1.5-pro,1999000,233,1103,210,1546,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20STANA%20v.%20ROMANIA.docx,4096,gpt-3.5-turbo,3096,173,372,244,789,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20STANA%20v.%20ROMANIA.docx,8192,gpt-4,7192,173,372,244,789,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20STANA%20v.%20ROMANIA.docx,16384,gpt-3.5-turbo-16k,15384,173,372,244,789,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20STANA%20v.%20ROMANIA.docx,32768,gpt-4-32k,31768,173,372,244,789,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20STANA%20v.%20ROMANIA.docx,128000,gpt-4-turbo,127000,173,372,244,789,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20STANA%20v.%20ROMANIA.docx,200000,claude-3-haiku,199000,173,372,244,789,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20STANA%20v.%20ROMANIA.docx,1000000,gemini-1.5-flash,999000,173,372,244,789,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20STANA%20v.%20ROMANIA.docx,2000000,gemini-1.5-pro,1999000,173,372,244,789,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20VISY%20v.%20SLOVAKIA.docx,4096,gpt-3.5-turbo,3096,277,2133,239,2649,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20VISY%20v.%20SLOVAKIA.docx,8192,gpt-4,7192,277,2133,239,2649,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20VISY%20v.%20SLOVAKIA.docx,16384,gpt-3.5-turbo-16k,15384,277,2133,239,2649,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20VISY%20v.%20SLOVAKIA.docx,32768,gpt-4-32k,31768,277,2133,239,2649,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20VISY%20v.%20SLOVAKIA.docx,128000,gpt-4-turbo,127000,277,2133,239,2649,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20VISY%20v.%20SLOVAKIA.docx,200000,claude-3-haiku,199000,277,2133,239,2649,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20VISY%20v.%20SLOVAKIA.docx,1000000,gemini-1.5-flash,999000,277,2133,239,2649,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20VISY%20v.%20SLOVAKIA.docx,2000000,gemini-1.5-pro,1999000,277,2133,239,2649,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20YAKUSHEV%20v.%20UKRAINE.docx,4096,gpt-3.5-turbo,3096,195,687,260,1142,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20YAKUSHEV%20v.%20UKRAINE.docx,8192,gpt-4,7192,195,687,260,1142,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20YAKUSHEV%20v.%20UKRAINE.docx,16384,gpt-3.5-turbo-16k,15384,195,687,260,1142,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20YAKUSHEV%20v.%20UKRAINE.docx,32768,gpt-4-32k,31768,195,687,260,1142,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20YAKUSHEV%20v.%20UKRAINE.docx,128000,gpt-4-turbo,127000,195,687,260,1142,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20YAKUSHEV%20v.%20UKRAINE.docx,200000,claude-3-haiku,199000,195,687,260,1142,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20YAKUSHEV%20v.%20UKRAINE.docx,1000000,gemini-1.5-flash,999000,195,687,260,1142,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20YAKUSHEV%20v.%20UKRAINE.docx,2000000,gemini-1.5-pro,1999000,195,687,260,1142,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20YERMAKOVICH%20v.%20RUSSIA.docx,4096,gpt-3.5-turbo,3096,297,1922,343,2562,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20YERMAKOVICH%20v.%20RUSSIA.docx,8192,gpt-4,7192,297,1922,343,2562,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20YERMAKOVICH%20v.%20RUSSIA.docx,16384,gpt-3.5-turbo-16k,15384,297,1922,343,2562,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20YERMAKOVICH%20v.%20RUSSIA.docx,32768,gpt-4-32k,31768,297,1922,343,2562,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20YERMAKOVICH%20v.%20RUSSIA.docx,128000,gpt-4-turbo,127000,297,1922,343,2562,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20YERMAKOVICH%20v.%20RUSSIA.docx,200000,claude-3-haiku,199000,297,1922,343,2562,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20YERMAKOVICH%20v.%20RUSSIA.docx,1000000,gemini-1.5-flash,999000,297,1922,343,2562,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20YERMAKOVICH%20v.%20RUSSIA.docx,2000000,gemini-1.5-pro,1999000,297,1922,343,2562,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20YEVGENIY%20ZAKHAROV%20v.%20RUSSIA.docx,4096,gpt-3.5-turbo,3096,217,2098,220,2535,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20YEVGENIY%20ZAKHAROV%20v.%20RUSSIA.docx,8192,gpt-4,7192,217,2098,220,2535,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20YEVGENIY%20ZAKHAROV%20v.%20RUSSIA.docx,16384,gpt-3.5-turbo-16k,15384,217,2098,220,2535,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20YEVGENIY%20ZAKHAROV%20v.%20RUSSIA.docx,32768,gpt-4-32k,31768,217,2098,220,2535,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20YEVGENIY%20ZAKHAROV%20v.%20RUSSIA.docx,128000,gpt-4-turbo,127000,217,2098,220,2535,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20YEVGENIY%20ZAKHAROV%20v.%20RUSSIA.docx,200000,claude-3-haiku,199000,217,2098,220,2535,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20YEVGENIY%20ZAKHAROV%20v.%20RUSSIA.docx,1000000,gemini-1.5-flash,999000,217,2098,220,2535,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20YEVGENIY%20ZAKHAROV%20v.%20RUSSIA.docx,2000000,gemini-1.5-pro,1999000,217,2098,220,2535,True,True,True,True,True
