Document,Model,Evaluation_Mode,Overall_Precision,Overall_Recall,Overall_F1,Total_TP,Total_FP,Total_FN,Total_Gold,Total_Predicted
ALTAY v. TURKEY (No. 2),gemma3:1b,Lenient,0.121,0.044,0.065,4,29,87,91,33
ALTAY v. TURKEY (No. 2),gemma3:1b,Strict,0.061,0.022,0.032,2,31,89,91,33
ALTAY v. TURKEY (No. 2),gemma3:4b,Lenient,0.420,0.231,0.298,21,29,70,91,50
ALTAY v. TURKEY (No. 2),gemma3:4b,Strict,0.300,0.165,0.213,15,35,76,91,50
ALTAY v. TURKEY (No. 2),gemma3:12b,Lenient,0.518,0.319,0.395,29,27,62,91,56
ALTAY v. TURKEY (No. 2),gemma3:12b,Strict,0.286,0.176,0.218,16,40,75,91,56
ALTAY v. TURKEY (No. 2),llama3.3:latest,Lenient,0.463,0.484,0.473,44,51,47,91,95
ALTAY v. TURKEY (No. 2),llama3.3:latest,Strict,0.147,0.154,0.151,14,81,77,91,95
ALTAY v. TURKEY (No. 2),deepseek-r1:8b,Lenient,0.571,0.176,0.269,16,12,75,91,28
ALTAY v. TURKEY (No. 2),deepseek-r1:8b,Strict,0.143,0.044,0.067,4,24,87,91,28
ALTAY v. TURKEY (No. 2),mistral:latest,Lenient,0.250,0.330,0.284,30,90,61,91,120
ALTAY v. TURKEY (No. 2),mistral:latest,Strict,0.175,0.231,0.199,21,99,70,91,120
ALTAY v. TURKEY (No. 2),incept5/llama3.1-claude:latest,Lenient,0.442,0.253,0.322,23,29,68,91,52
ALTAY v. TURKEY (No. 2),incept5/llama3.1-claude:latest,Strict,0.365,0.209,0.266,19,33,72,91,52
ALTAY v. TURKEY (No. 2),chevalblanc/claude-3-haiku:latest,Lenient,0.459,0.374,0.412,34,40,57,91,74
ALTAY v. TURKEY (No. 2),chevalblanc/claude-3-haiku:latest,Strict,0.068,0.055,0.061,5,69,86,91,74
ALTAY v. TURKEY (No. 2),llama4:16x17b,Lenient,0.000,0.000,0.000,0,0,91,91,0
ALTAY v. TURKEY (No. 2),llama4:16x17b,Strict,0.000,0.000,0.000,0,0,91,91,0
ALTAY v. TURKEY (No. 2),mixtral:8x7b,Lenient,0.622,0.253,0.359,23,14,68,91,37
ALTAY v. TURKEY (No. 2),mixtral:8x7b,Strict,0.081,0.033,0.047,3,34,88,91,37
ALTAY v. TURKEY (No. 2),dolphin3:8b,Lenient,0.452,0.154,0.230,14,17,77,91,31
ALTAY v. TURKEY (No. 2),dolphin3:8b,Strict,0.290,0.099,0.148,9,22,82,91,31
ALTAY v. TURKEY (No. 2),dolphin-mixtral:8x7b,Lenient,0.500,0.286,0.364,26,26,65,91,52
ALTAY v. TURKEY (No. 2),dolphin-mixtral:8x7b,Strict,0.250,0.143,0.182,13,39,78,91,52
BELYAYEV AND OTHERS v. UKRAINE,gemma3:1b,Lenient,0.222,0.146,0.176,6,21,35,41,27
BELYAYEV AND OTHERS v. UKRAINE,gemma3:1b,Strict,0.111,0.073,0.088,3,24,38,41,27
BELYAYEV AND OTHERS v. UKRAINE,gemma3:4b,Lenient,0.125,0.049,0.070,2,14,39,41,16
BELYAYEV AND OTHERS v. UKRAINE,gemma3:4b,Strict,0.000,0.000,0.000,0,16,41,41,16
BELYAYEV AND OTHERS v. UKRAINE,gemma3:12b,Lenient,0.235,0.293,0.261,12,39,29,41,51
BELYAYEV AND OTHERS v. UKRAINE,gemma3:12b,Strict,0.196,0.244,0.217,10,41,31,41,51
BELYAYEV AND OTHERS v. UKRAINE,llama3.3:latest,Lenient,0.286,0.146,0.194,6,15,35,41,21
BELYAYEV AND OTHERS v. UKRAINE,llama3.3:latest,Strict,0.238,0.122,0.161,5,16,36,41,21
BELYAYEV AND OTHERS v. UKRAINE,deepseek-r1:8b,Lenient,0.143,0.049,0.073,2,12,39,41,14
BELYAYEV AND OTHERS v. UKRAINE,deepseek-r1:8b,Strict,0.071,0.024,0.036,1,13,40,41,14
BELYAYEV AND OTHERS v. UKRAINE,mistral:latest,Lenient,0.136,0.195,0.160,8,51,33,41,59
BELYAYEV AND OTHERS v. UKRAINE,mistral:latest,Strict,0.051,0.073,0.060,3,56,38,41,59
BELYAYEV AND OTHERS v. UKRAINE,incept5/llama3.1-claude:latest,Lenient,0.200,0.073,0.107,3,12,38,41,15
BELYAYEV AND OTHERS v. UKRAINE,incept5/llama3.1-claude:latest,Strict,0.200,0.073,0.107,3,12,38,41,15
BELYAYEV AND OTHERS v. UKRAINE,chevalblanc/claude-3-haiku:latest,Lenient,0.100,0.024,0.039,1,9,40,41,10
BELYAYEV AND OTHERS v. UKRAINE,chevalblanc/claude-3-haiku:latest,Strict,0.100,0.024,0.039,1,9,40,41,10
BELYAYEV AND OTHERS v. UKRAINE,llama4:16x17b,Lenient,0.000,0.000,0.000,0,0,41,41,0
BELYAYEV AND OTHERS v. UKRAINE,llama4:16x17b,Strict,0.000,0.000,0.000,0,0,41,41,0
BELYAYEV AND OTHERS v. UKRAINE,mixtral:8x7b,Lenient,0.200,0.049,0.078,2,8,39,41,10
BELYAYEV AND OTHERS v. UKRAINE,mixtral:8x7b,Strict,0.100,0.024,0.039,1,9,40,41,10
BELYAYEV AND OTHERS v. UKRAINE,dolphin3:8b,Lenient,0.400,0.146,0.214,6,9,35,41,15
BELYAYEV AND OTHERS v. UKRAINE,dolphin3:8b,Strict,0.067,0.024,0.036,1,14,40,41,15
BELYAYEV AND OTHERS v. UKRAINE,dolphin-mixtral:8x7b,Lenient,0.235,0.098,0.138,4,13,37,41,17
BELYAYEV AND OTHERS v. UKRAINE,dolphin-mixtral:8x7b,Strict,0.000,0.000,0.000,0,17,41,41,17
BIGUN v. UKRAINE,gemma3:1b,Lenient,1.000,0.035,0.068,2,0,55,57,2
BIGUN v. UKRAINE,gemma3:1b,Strict,1.000,0.035,0.068,2,0,55,57,2
BIGUN v. UKRAINE,gemma3:4b,Lenient,0.217,0.175,0.194,10,36,47,57,46
BIGUN v. UKRAINE,gemma3:4b,Strict,0.152,0.123,0.136,7,39,50,57,46
BIGUN v. UKRAINE,gemma3:12b,Lenient,0.280,0.246,0.262,14,36,43,57,50
BIGUN v. UKRAINE,gemma3:12b,Strict,0.140,0.123,0.131,7,43,50,57,50
BIGUN v. UKRAINE,llama3.3:latest,Lenient,0.491,0.456,0.473,26,27,31,57,53
BIGUN v. UKRAINE,llama3.3:latest,Strict,0.245,0.228,0.236,13,40,44,57,53
BIGUN v. UKRAINE,deepseek-r1:8b,Lenient,0.417,0.351,0.381,20,28,37,57,48
BIGUN v. UKRAINE,deepseek-r1:8b,Strict,0.208,0.175,0.190,10,38,47,57,48
BIGUN v. UKRAINE,mistral:latest,Lenient,0.236,0.368,0.288,21,68,36,57,89
BIGUN v. UKRAINE,mistral:latest,Strict,0.180,0.281,0.219,16,73,41,57,89
BIGUN v. UKRAINE,incept5/llama3.1-claude:latest,Lenient,0.151,0.281,0.196,16,90,41,57,106
BIGUN v. UKRAINE,incept5/llama3.1-claude:latest,Strict,0.113,0.211,0.147,12,94,45,57,106
BIGUN v. UKRAINE,chevalblanc/claude-3-haiku:latest,Lenient,0.273,0.105,0.152,6,16,51,57,22
BIGUN v. UKRAINE,chevalblanc/claude-3-haiku:latest,Strict,0.091,0.035,0.051,2,20,55,57,22
BIGUN v. UKRAINE,llama4:16x17b,Lenient,0.000,0.000,0.000,0,0,57,57,0
BIGUN v. UKRAINE,llama4:16x17b,Strict,0.000,0.000,0.000,0,0,57,57,0
BIGUN v. UKRAINE,mixtral:8x7b,Lenient,0.412,0.123,0.189,7,10,50,57,17
BIGUN v. UKRAINE,mixtral:8x7b,Strict,0.118,0.035,0.054,2,15,55,57,17
BIGUN v. UKRAINE,dolphin3:8b,Lenient,0.269,0.246,0.257,14,38,43,57,52
BIGUN v. UKRAINE,dolphin3:8b,Strict,0.192,0.175,0.183,10,42,47,57,52
BIGUN v. UKRAINE,dolphin-mixtral:8x7b,Lenient,0.478,0.193,0.275,11,12,46,57,23
BIGUN v. UKRAINE,dolphin-mixtral:8x7b,Strict,0.217,0.088,0.125,5,18,52,57,23
CABUCAK v. GERMANY,gemma3:1b,Lenient,0.051,0.019,0.027,3,56,159,162,59
CABUCAK v. GERMANY,gemma3:1b,Strict,0.034,0.012,0.018,2,57,160,162,59
CABUCAK v. GERMANY,gemma3:4b,Lenient,0.312,0.062,0.103,10,22,152,162,32
CABUCAK v. GERMANY,gemma3:4b,Strict,0.219,0.043,0.072,7,25,155,162,32
CABUCAK v. GERMANY,gemma3:12b,Lenient,0.635,0.290,0.398,47,27,115,162,74
CABUCAK v. GERMANY,gemma3:12b,Strict,0.446,0.204,0.280,33,41,129,162,74
CABUCAK v. GERMANY,llama3.3:latest,Lenient,0.000,0.000,0.000,0,0,162,162,0
CABUCAK v. GERMANY,llama3.3:latest,Strict,0.000,0.000,0.000,0,0,162,162,0
CABUCAK v. GERMANY,deepseek-r1:8b,Lenient,0.625,0.093,0.161,15,9,147,162,24
CABUCAK v. GERMANY,deepseek-r1:8b,Strict,0.333,0.049,0.086,8,16,154,162,24
CABUCAK v. GERMANY,mistral:latest,Lenient,0.263,0.278,0.270,45,126,117,162,171
CABUCAK v. GERMANY,mistral:latest,Strict,0.181,0.191,0.186,31,140,131,162,171
CABUCAK v. GERMANY,incept5/llama3.1-claude:latest,Lenient,0.411,0.185,0.255,30,43,132,162,73
CABUCAK v. GERMANY,incept5/llama3.1-claude:latest,Strict,0.301,0.136,0.187,22,51,140,162,73
CABUCAK v. GERMANY,chevalblanc/claude-3-haiku:latest,Lenient,0.273,0.019,0.035,3,8,159,162,11
CABUCAK v. GERMANY,chevalblanc/claude-3-haiku:latest,Strict,0.091,0.006,0.012,1,10,161,162,11
CABUCAK v. GERMANY,llama4:16x17b,Lenient,0.000,0.000,0.000,0,0,162,162,0
CABUCAK v. GERMANY,llama4:16x17b,Strict,0.000,0.000,0.000,0,0,162,162,0
CABUCAK v. GERMANY,mixtral:8x7b,Lenient,0.643,0.222,0.330,36,20,126,162,56
CABUCAK v. GERMANY,mixtral:8x7b,Strict,0.232,0.080,0.119,13,43,149,162,56
CABUCAK v. GERMANY,dolphin3:8b,Lenient,0.000,0.000,0.000,0,0,162,162,0
CABUCAK v. GERMANY,dolphin3:8b,Strict,0.000,0.000,0.000,0,0,162,162,0
CABUCAK v. GERMANY,dolphin-mixtral:8x7b,Lenient,0.720,0.111,0.193,18,7,144,162,25
CABUCAK v. GERMANY,dolphin-mixtral:8x7b,Strict,0.400,0.062,0.107,10,15,152,162,25
CAN v. TURKEY,gemma3:1b,Lenient,0.379,0.172,0.237,11,18,53,64,29
CAN v. TURKEY,gemma3:1b,Strict,0.276,0.125,0.172,8,21,56,64,29
CAN v. TURKEY,gemma3:4b,Lenient,0.582,0.500,0.538,32,23,32,64,55
CAN v. TURKEY,gemma3:4b,Strict,0.473,0.406,0.437,26,29,38,64,55
CAN v. TURKEY,gemma3:12b,Lenient,0.612,0.641,0.626,41,26,23,64,67
CAN v. TURKEY,gemma3:12b,Strict,0.358,0.375,0.366,24,43,40,64,67
CAN v. TURKEY,llama3.3:latest,Lenient,0.657,0.688,0.672,44,23,20,64,67
CAN v. TURKEY,llama3.3:latest,Strict,0.269,0.281,0.275,18,49,46,64,67
CAN v. TURKEY,deepseek-r1:8b,Lenient,0.667,0.469,0.550,30,15,34,64,45
CAN v. TURKEY,deepseek-r1:8b,Strict,0.267,0.188,0.220,12,33,52,64,45
CAN v. TURKEY,mistral:latest,Lenient,0.475,0.594,0.528,38,42,26,64,80
CAN v. TURKEY,mistral:latest,Strict,0.325,0.406,0.361,26,54,38,64,80
CAN v. TURKEY,incept5/llama3.1-claude:latest,Lenient,0.659,0.422,0.514,27,14,37,64,41
CAN v. TURKEY,incept5/llama3.1-claude:latest,Strict,0.268,0.172,0.210,11,30,53,64,41
CAN v. TURKEY,chevalblanc/claude-3-haiku:latest,Lenient,0.611,0.516,0.559,33,21,31,64,54
CAN v. TURKEY,chevalblanc/claude-3-haiku:latest,Strict,0.222,0.188,0.203,12,42,52,64,54
CAN v. TURKEY,llama4:16x17b,Lenient,0.000,0.000,0.000,0,3,64,64,3
CAN v. TURKEY,llama4:16x17b,Strict,0.000,0.000,0.000,0,3,64,64,3
CAN v. TURKEY,mixtral:8x7b,Lenient,0.667,0.250,0.364,16,8,48,64,24
CAN v. TURKEY,mixtral:8x7b,Strict,0.250,0.094,0.136,6,18,58,64,24
CAN v. TURKEY,dolphin3:8b,Lenient,0.625,0.234,0.341,15,9,49,64,24
CAN v. TURKEY,dolphin3:8b,Strict,0.250,0.094,0.136,6,18,58,64,24
CAN v. TURKEY,dolphin-mixtral:8x7b,Lenient,0.706,0.562,0.626,36,15,28,64,51
CAN v. TURKEY,dolphin-mixtral:8x7b,Strict,0.196,0.156,0.174,10,41,54,64,51
CRISTIAN CATALIN UNGUREANU v. ROMANIA,gemma3:1b,Lenient,0.367,0.209,0.267,18,31,68,86,49
CRISTIAN CATALIN UNGUREANU v. ROMANIA,gemma3:1b,Strict,0.204,0.116,0.148,10,39,76,86,49
CRISTIAN CATALIN UNGUREANU v. ROMANIA,gemma3:4b,Lenient,0.261,0.070,0.110,6,17,80,86,23
CRISTIAN CATALIN UNGUREANU v. ROMANIA,gemma3:4b,Strict,0.261,0.070,0.110,6,17,80,86,23
CRISTIAN CATALIN UNGUREANU v. ROMANIA,gemma3:12b,Lenient,0.429,0.384,0.405,33,44,53,86,77
CRISTIAN CATALIN UNGUREANU v. ROMANIA,gemma3:12b,Strict,0.273,0.244,0.258,21,56,65,86,77
CRISTIAN CATALIN UNGUREANU v. ROMANIA,llama3.3:latest,Lenient,0.587,0.314,0.409,27,19,59,86,46
CRISTIAN CATALIN UNGUREANU v. ROMANIA,llama3.3:latest,Strict,0.478,0.256,0.333,22,24,64,86,46
CRISTIAN CATALIN UNGUREANU v. ROMANIA,deepseek-r1:8b,Lenient,0.516,0.186,0.274,16,15,70,86,31
CRISTIAN CATALIN UNGUREANU v. ROMANIA,deepseek-r1:8b,Strict,0.194,0.070,0.103,6,25,80,86,31
CRISTIAN CATALIN UNGUREANU v. ROMANIA,mistral:latest,Lenient,0.356,0.372,0.364,32,58,54,86,90
CRISTIAN CATALIN UNGUREANU v. ROMANIA,mistral:latest,Strict,0.267,0.279,0.273,24,66,62,86,90
CRISTIAN CATALIN UNGUREANU v. ROMANIA,incept5/llama3.1-claude:latest,Lenient,0.377,0.302,0.335,26,43,60,86,69
CRISTIAN CATALIN UNGUREANU v. ROMANIA,incept5/llama3.1-claude:latest,Strict,0.203,0.163,0.181,14,55,72,86,69
CRISTIAN CATALIN UNGUREANU v. ROMANIA,chevalblanc/claude-3-haiku:latest,Lenient,0.619,0.151,0.243,13,8,73,86,21
CRISTIAN CATALIN UNGUREANU v. ROMANIA,chevalblanc/claude-3-haiku:latest,Strict,0.238,0.058,0.093,5,16,81,86,21
CRISTIAN CATALIN UNGUREANU v. ROMANIA,llama4:16x17b,Lenient,0.571,0.047,0.086,4,3,82,86,7
CRISTIAN CATALIN UNGUREANU v. ROMANIA,llama4:16x17b,Strict,0.429,0.035,0.065,3,4,83,86,7
CRISTIAN CATALIN UNGUREANU v. ROMANIA,mixtral:8x7b,Lenient,0.609,0.163,0.257,14,9,72,86,23
CRISTIAN CATALIN UNGUREANU v. ROMANIA,mixtral:8x7b,Strict,0.130,0.035,0.055,3,20,83,86,23
CRISTIAN CATALIN UNGUREANU v. ROMANIA,dolphin3:8b,Lenient,0.765,0.151,0.252,13,4,73,86,17
CRISTIAN CATALIN UNGUREANU v. ROMANIA,dolphin3:8b,Strict,0.353,0.070,0.117,6,11,80,86,17
CRISTIAN CATALIN UNGUREANU v. ROMANIA,dolphin-mixtral:8x7b,Lenient,0.000,0.000,0.000,0,0,86,86,0
CRISTIAN CATALIN UNGUREANU v. ROMANIA,dolphin-mixtral:8x7b,Strict,0.000,0.000,0.000,0,0,86,86,0
DOKTOROV v. BULGARIA,gemma3:1b,Lenient,0.262,0.239,0.250,11,31,35,46,42
DOKTOROV v. BULGARIA,gemma3:1b,Strict,0.214,0.196,0.205,9,33,37,46,42
DOKTOROV v. BULGARIA,gemma3:4b,Lenient,0.333,0.217,0.263,10,20,36,46,30
DOKTOROV v. BULGARIA,gemma3:4b,Strict,0.200,0.130,0.158,6,24,40,46,30
DOKTOROV v. BULGARIA,gemma3:12b,Lenient,0.410,0.348,0.376,16,23,30,46,39
DOKTOROV v. BULGARIA,gemma3:12b,Strict,0.128,0.109,0.118,5,34,41,46,39
DOKTOROV v. BULGARIA,llama3.3:latest,Lenient,0.655,0.413,0.507,19,10,27,46,29
DOKTOROV v. BULGARIA,llama3.3:latest,Strict,0.276,0.174,0.213,8,21,38,46,29
DOKTOROV v. BULGARIA,deepseek-r1:8b,Lenient,0.296,0.174,0.219,8,19,38,46,27
DOKTOROV v. BULGARIA,deepseek-r1:8b,Strict,0.148,0.087,0.110,4,23,42,46,27
DOKTOROV v. BULGARIA,mistral:latest,Lenient,0.311,0.413,0.355,19,42,27,46,61
DOKTOROV v. BULGARIA,mistral:latest,Strict,0.213,0.283,0.243,13,48,33,46,61
DOKTOROV v. BULGARIA,incept5/llama3.1-claude:latest,Lenient,0.439,0.391,0.414,18,23,28,46,41
DOKTOROV v. BULGARIA,incept5/llama3.1-claude:latest,Strict,0.366,0.326,0.345,15,26,31,46,41
DOKTOROV v. BULGARIA,chevalblanc/claude-3-haiku:latest,Lenient,0.667,0.130,0.218,6,3,40,46,9
DOKTOROV v. BULGARIA,chevalblanc/claude-3-haiku:latest,Strict,0.111,0.022,0.036,1,8,45,46,9
DOKTOROV v. BULGARIA,llama4:16x17b,Lenient,0.333,0.065,0.109,3,6,43,46,9
DOKTOROV v. BULGARIA,llama4:16x17b,Strict,0.333,0.065,0.109,3,6,43,46,9
DOKTOROV v. BULGARIA,mixtral:8x7b,Lenient,0.357,0.109,0.167,5,9,41,46,14
DOKTOROV v. BULGARIA,mixtral:8x7b,Strict,0.071,0.022,0.033,1,13,45,46,14
DOKTOROV v. BULGARIA,dolphin3:8b,Lenient,0.615,0.174,0.271,8,5,38,46,13
DOKTOROV v. BULGARIA,dolphin3:8b,Strict,0.462,0.130,0.203,6,7,40,46,13
DOKTOROV v. BULGARIA,dolphin-mixtral:8x7b,Lenient,0.000,0.000,0.000,0,0,46,46,0
DOKTOROV v. BULGARIA,dolphin-mixtral:8x7b,Strict,0.000,0.000,0.000,0,0,46,46,0
EGILL EINARSSON v. ICELAND (No. 2),gemma3:1b,Lenient,0.000,0.000,0.000,0,0,55,55,0
EGILL EINARSSON v. ICELAND (No. 2),gemma3:1b,Strict,0.000,0.000,0.000,0,0,55,55,0
EGILL EINARSSON v. ICELAND (No. 2),gemma3:4b,Lenient,0.500,0.127,0.203,7,7,48,55,14
EGILL EINARSSON v. ICELAND (No. 2),gemma3:4b,Strict,0.214,0.055,0.087,3,11,52,55,14
EGILL EINARSSON v. ICELAND (No. 2),gemma3:12b,Lenient,0.559,0.345,0.427,19,15,36,55,34
EGILL EINARSSON v. ICELAND (No. 2),gemma3:12b,Strict,0.324,0.200,0.247,11,23,44,55,34
EGILL EINARSSON v. ICELAND (No. 2),llama3.3:latest,Lenient,0.525,0.582,0.552,32,29,23,55,61
EGILL EINARSSON v. ICELAND (No. 2),llama3.3:latest,Strict,0.230,0.255,0.241,14,47,41,55,61
EGILL EINARSSON v. ICELAND (No. 2),deepseek-r1:8b,Lenient,0.667,0.291,0.405,16,8,39,55,24
EGILL EINARSSON v. ICELAND (No. 2),deepseek-r1:8b,Strict,0.250,0.109,0.152,6,18,49,55,24
EGILL EINARSSON v. ICELAND (No. 2),mistral:latest,Lenient,0.315,0.509,0.389,28,61,27,55,89
EGILL EINARSSON v. ICELAND (No. 2),mistral:latest,Strict,0.236,0.382,0.292,21,68,34,55,89
EGILL EINARSSON v. ICELAND (No. 2),incept5/llama3.1-claude:latest,Lenient,0.000,0.000,0.000,0,0,55,55,0
EGILL EINARSSON v. ICELAND (No. 2),incept5/llama3.1-claude:latest,Strict,0.000,0.000,0.000,0,0,55,55,0
EGILL EINARSSON v. ICELAND (No. 2),chevalblanc/claude-3-haiku:latest,Lenient,0.588,0.182,0.278,10,7,45,55,17
EGILL EINARSSON v. ICELAND (No. 2),chevalblanc/claude-3-haiku:latest,Strict,0.353,0.109,0.167,6,11,49,55,17
EGILL EINARSSON v. ICELAND (No. 2),llama4:16x17b,Lenient,0.000,0.000,0.000,0,0,55,55,0
EGILL EINARSSON v. ICELAND (No. 2),llama4:16x17b,Strict,0.000,0.000,0.000,0,0,55,55,0
EGILL EINARSSON v. ICELAND (No. 2),mixtral:8x7b,Lenient,0.629,0.400,0.489,22,13,33,55,35
EGILL EINARSSON v. ICELAND (No. 2),mixtral:8x7b,Strict,0.114,0.073,0.089,4,31,51,55,35
EGILL EINARSSON v. ICELAND (No. 2),dolphin3:8b,Lenient,0.450,0.164,0.240,9,11,46,55,20
EGILL EINARSSON v. ICELAND (No. 2),dolphin3:8b,Strict,0.300,0.109,0.160,6,14,49,55,20
EGILL EINARSSON v. ICELAND (No. 2),dolphin-mixtral:8x7b,Lenient,0.346,0.164,0.222,9,17,46,55,26
EGILL EINARSSON v. ICELAND (No. 2),dolphin-mixtral:8x7b,Strict,0.308,0.145,0.198,8,18,47,55,26
H_INESS v. NORWAY (1),gemma3:1b,Lenient,0.000,0.000,0.000,0,0,127,127,0
H_INESS v. NORWAY (1),gemma3:1b,Strict,0.000,0.000,0.000,0,0,127,127,0
H_INESS v. NORWAY (1),gemma3:4b,Lenient,0.300,0.047,0.082,6,14,121,127,20
H_INESS v. NORWAY (1),gemma3:4b,Strict,0.150,0.024,0.041,3,17,124,127,20
H_INESS v. NORWAY (1),gemma3:12b,Lenient,0.570,0.354,0.437,45,34,82,127,79
H_INESS v. NORWAY (1),gemma3:12b,Strict,0.380,0.236,0.291,30,49,97,127,79
H_INESS v. NORWAY (1),llama3.3:latest,Lenient,0.667,0.016,0.031,2,1,125,127,3
H_INESS v. NORWAY (1),llama3.3:latest,Strict,0.667,0.016,0.031,2,1,125,127,3
H_INESS v. NORWAY (1),deepseek-r1:8b,Lenient,0.710,0.173,0.278,22,9,105,127,31
H_INESS v. NORWAY (1),deepseek-r1:8b,Strict,0.290,0.071,0.114,9,22,118,127,31
H_INESS v. NORWAY (1),mistral:latest,Lenient,0.280,0.205,0.236,26,67,101,127,93
H_INESS v. NORWAY (1),mistral:latest,Strict,0.172,0.126,0.145,16,77,111,127,93
H_INESS v. NORWAY (1),incept5/llama3.1-claude:latest,Lenient,0.438,0.055,0.098,7,9,120,127,16
H_INESS v. NORWAY (1),incept5/llama3.1-claude:latest,Strict,0.250,0.031,0.056,4,12,123,127,16
H_INESS v. NORWAY (1),chevalblanc/claude-3-haiku:latest,Lenient,0.467,0.055,0.099,7,8,120,127,15
H_INESS v. NORWAY (1),chevalblanc/claude-3-haiku:latest,Strict,0.200,0.024,0.042,3,12,124,127,15
H_INESS v. NORWAY (1),llama4:16x17b,Lenient,0.000,0.000,0.000,0,0,127,127,0
H_INESS v. NORWAY (1),llama4:16x17b,Strict,0.000,0.000,0.000,0,0,127,127,0
H_INESS v. NORWAY (1),mixtral:8x7b,Lenient,0.286,0.016,0.030,2,5,125,127,7
H_INESS v. NORWAY (1),mixtral:8x7b,Strict,0.143,0.008,0.015,1,6,126,127,7
H_INESS v. NORWAY (1),dolphin3:8b,Lenient,0.263,0.039,0.068,5,14,122,127,19
H_INESS v. NORWAY (1),dolphin3:8b,Strict,0.158,0.024,0.041,3,16,124,127,19
H_INESS v. NORWAY (1),dolphin-mixtral:8x7b,Lenient,0.600,0.047,0.088,6,4,121,127,10
H_INESS v. NORWAY (1),dolphin-mixtral:8x7b,Strict,0.600,0.047,0.088,6,4,121,127,10
KOSAITE - CYPIENE AND OTHERS v. LITHUANIA,gemma3:1b,Lenient,0.750,0.020,0.039,3,1,145,148,4
KOSAITE - CYPIENE AND OTHERS v. LITHUANIA,gemma3:1b,Strict,0.500,0.014,0.026,2,2,146,148,4
KOSAITE - CYPIENE AND OTHERS v. LITHUANIA,gemma3:4b,Lenient,0.625,0.034,0.064,5,3,143,148,8
KOSAITE - CYPIENE AND OTHERS v. LITHUANIA,gemma3:4b,Strict,0.250,0.014,0.026,2,6,146,148,8
KOSAITE - CYPIENE AND OTHERS v. LITHUANIA,gemma3:12b,Lenient,0.750,0.020,0.039,3,1,145,148,4
KOSAITE - CYPIENE AND OTHERS v. LITHUANIA,gemma3:12b,Strict,0.750,0.020,0.039,3,1,145,148,4
KOSAITE - CYPIENE AND OTHERS v. LITHUANIA,llama3.3:latest,Lenient,0.000,0.000,0.000,0,0,148,148,0
KOSAITE - CYPIENE AND OTHERS v. LITHUANIA,llama3.3:latest,Strict,0.000,0.000,0.000,0,0,148,148,0
KOSAITE - CYPIENE AND OTHERS v. LITHUANIA,deepseek-r1:8b,Lenient,0.255,0.088,0.131,13,38,135,148,51
KOSAITE - CYPIENE AND OTHERS v. LITHUANIA,deepseek-r1:8b,Strict,0.118,0.041,0.060,6,45,142,148,51
KOSAITE - CYPIENE AND OTHERS v. LITHUANIA,mistral:latest,Lenient,0.275,0.203,0.233,30,79,118,148,109
KOSAITE - CYPIENE AND OTHERS v. LITHUANIA,mistral:latest,Strict,0.220,0.162,0.187,24,85,124,148,109
KOSAITE - CYPIENE AND OTHERS v. LITHUANIA,incept5/llama3.1-claude:latest,Lenient,0.413,0.128,0.196,19,27,129,148,46
