Document,Model,Evaluation_Mode,Overall_Precision,Overall_Recall,Overall_F1,Total_TP,Total_FP,Total_FN,Total_Gold,Total_Predicted
KOSAITE - CYPIENE AND OTHERS v. LITHUANIA,incept5/llama3.1-claude:latest,Strict,0.304,0.095,0.144,14,32,134,148,46
KOSAITE - CYPIENE AND OTHERS v. LITHUANIA,chevalblanc/claude-3-haiku:latest,Lenient,0.476,0.068,0.118,10,11,138,148,21
KOSAITE - CYPIENE AND OTHERS v. LITHUANIA,chevalblanc/claude-3-haiku:latest,Strict,0.238,0.034,0.059,5,16,143,148,21
KOSAITE - CYPIENE AND OTHERS v. LITHUANIA,llama4:16x17b,Lenient,0.000,0.000,0.000,0,0,148,148,0
KOSAITE - CYPIENE AND OTHERS v. LITHUANIA,llama4:16x17b,Strict,0.000,0.000,0.000,0,0,148,148,0
KOSAITE - CYPIENE AND OTHERS v. LITHUANIA,mixtral:8x7b,Lenient,0.600,0.020,0.039,3,2,145,148,5
KOSAITE - CYPIENE AND OTHERS v. LITHUANIA,mixtral:8x7b,Strict,0.400,0.014,0.026,2,3,146,148,5
KOSAITE - CYPIENE AND OTHERS v. LITHUANIA,dolphin3:8b,Lenient,0.333,0.027,0.050,4,8,144,148,12
KOSAITE - CYPIENE AND OTHERS v. LITHUANIA,dolphin3:8b,Strict,0.167,0.014,0.025,2,10,146,148,12
KOSAITE - CYPIENE AND OTHERS v. LITHUANIA,dolphin-mixtral:8x7b,Lenient,0.350,0.047,0.083,7,13,141,148,20
KOSAITE - CYPIENE AND OTHERS v. LITHUANIA,dolphin-mixtral:8x7b,Strict,0.050,0.007,0.012,1,19,147,148,20
LOZOVYYE v. RUSSIA,gemma3:1b,Lenient,0.306,0.205,0.246,15,34,58,73,49
LOZOVYYE v. RUSSIA,gemma3:1b,Strict,0.102,0.068,0.082,5,44,68,73,49
LOZOVYYE v. RUSSIA,gemma3:4b,Lenient,0.577,0.411,0.480,30,22,43,73,52
LOZOVYYE v. RUSSIA,gemma3:4b,Strict,0.308,0.219,0.256,16,36,57,73,52
LOZOVYYE v. RUSSIA,gemma3:12b,Lenient,0.583,0.384,0.463,28,20,45,73,48
LOZOVYYE v. RUSSIA,gemma3:12b,Strict,0.250,0.164,0.198,12,36,61,73,48
LOZOVYYE v. RUSSIA,llama3.3:latest,Lenient,0.644,0.521,0.576,38,21,35,73,59
LOZOVYYE v. RUSSIA,llama3.3:latest,Strict,0.203,0.164,0.182,12,47,61,73,59
LOZOVYYE v. RUSSIA,deepseek-r1:8b,Lenient,0.490,0.342,0.403,25,26,48,73,51
LOZOVYYE v. RUSSIA,deepseek-r1:8b,Strict,0.176,0.123,0.145,9,42,64,73,51
LOZOVYYE v. RUSSIA,mistral:latest,Lenient,0.487,0.521,0.503,38,40,35,73,78
LOZOVYYE v. RUSSIA,mistral:latest,Strict,0.308,0.329,0.318,24,54,49,73,78
LOZOVYYE v. RUSSIA,incept5/llama3.1-claude:latest,Lenient,0.571,0.274,0.370,20,15,53,73,35
LOZOVYYE v. RUSSIA,incept5/llama3.1-claude:latest,Strict,0.371,0.178,0.241,13,22,60,73,35
LOZOVYYE v. RUSSIA,chevalblanc/claude-3-haiku:latest,Lenient,0.581,0.247,0.346,18,13,55,73,31
LOZOVYYE v. RUSSIA,chevalblanc/claude-3-haiku:latest,Strict,0.323,0.137,0.192,10,21,63,73,31
LOZOVYYE v. RUSSIA,llama4:16x17b,Lenient,0.000,0.000,0.000,0,0,73,73,0
LOZOVYYE v. RUSSIA,llama4:16x17b,Strict,0.000,0.000,0.000,0,0,73,73,0
LOZOVYYE v. RUSSIA,mixtral:8x7b,Lenient,0.222,0.027,0.049,2,7,71,73,9
LOZOVYYE v. RUSSIA,mixtral:8x7b,Strict,0.111,0.014,0.024,1,8,72,73,9
LOZOVYYE v. RUSSIA,dolphin3:8b,Lenient,0.462,0.082,0.140,6,7,67,73,13
LOZOVYYE v. RUSSIA,dolphin3:8b,Strict,0.308,0.055,0.093,4,9,69,73,13
LOZOVYYE v. RUSSIA,dolphin-mixtral:8x7b,Lenient,0.625,0.068,0.123,5,3,68,73,8
LOZOVYYE v. RUSSIA,dolphin-mixtral:8x7b,Strict,0.375,0.041,0.074,3,5,70,73,8
M.T. v. UKRAINE,gemma3:1b,Lenient,0.279,0.211,0.240,12,31,45,57,43
M.T. v. UKRAINE,gemma3:1b,Strict,0.209,0.158,0.180,9,34,48,57,43
M.T. v. UKRAINE,gemma3:4b,Lenient,0.365,0.333,0.349,19,33,38,57,52
M.T. v. UKRAINE,gemma3:4b,Strict,0.269,0.246,0.257,14,38,43,57,52
M.T. v. UKRAINE,gemma3:12b,Lenient,0.548,0.298,0.386,17,14,40,57,31
M.T. v. UKRAINE,gemma3:12b,Strict,0.323,0.175,0.227,10,21,47,57,31
M.T. v. UKRAINE,llama3.3:latest,Lenient,0.533,0.281,0.368,16,14,41,57,30
M.T. v. UKRAINE,llama3.3:latest,Strict,0.233,0.123,0.161,7,23,50,57,30
M.T. v. UKRAINE,deepseek-r1:8b,Lenient,0.267,0.070,0.111,4,11,53,57,15
M.T. v. UKRAINE,deepseek-r1:8b,Strict,0.133,0.035,0.056,2,13,55,57,15
M.T. v. UKRAINE,mistral:latest,Lenient,0.364,0.421,0.390,24,42,33,57,66
M.T. v. UKRAINE,mistral:latest,Strict,0.242,0.281,0.260,16,50,41,57,66
M.T. v. UKRAINE,incept5/llama3.1-claude:latest,Lenient,0.439,0.316,0.367,18,23,39,57,41
M.T. v. UKRAINE,incept5/llama3.1-claude:latest,Strict,0.268,0.193,0.224,11,30,46,57,41
M.T. v. UKRAINE,chevalblanc/claude-3-haiku:latest,Lenient,0.667,0.140,0.232,8,4,49,57,12
M.T. v. UKRAINE,chevalblanc/claude-3-haiku:latest,Strict,0.500,0.105,0.174,6,6,51,57,12
M.T. v. UKRAINE,llama4:16x17b,Lenient,0.000,0.000,0.000,0,2,57,57,2
M.T. v. UKRAINE,llama4:16x17b,Strict,0.000,0.000,0.000,0,2,57,57,2
M.T. v. UKRAINE,mixtral:8x7b,Lenient,0.800,0.351,0.488,20,5,37,57,25
M.T. v. UKRAINE,mixtral:8x7b,Strict,0.360,0.158,0.220,9,16,48,57,25
M.T. v. UKRAINE,dolphin3:8b,Lenient,0.455,0.088,0.147,5,6,52,57,11
M.T. v. UKRAINE,dolphin3:8b,Strict,0.182,0.035,0.059,2,9,55,57,11
M.T. v. UKRAINE,dolphin-mixtral:8x7b,Lenient,0.000,0.000,0.000,0,0,57,57,0
M.T. v. UKRAINE,dolphin-mixtral:8x7b,Strict,0.000,0.000,0.000,0,0,57,57,0
MOSKALEV v. RUSSIA,gemma3:1b,Lenient,0.200,0.159,0.177,7,28,37,44,35
MOSKALEV v. RUSSIA,gemma3:1b,Strict,0.171,0.136,0.152,6,29,38,44,35
MOSKALEV v. RUSSIA,gemma3:4b,Lenient,0.380,0.432,0.404,19,31,25,44,50
MOSKALEV v. RUSSIA,gemma3:4b,Strict,0.260,0.295,0.277,13,37,31,44,50
MOSKALEV v. RUSSIA,gemma3:12b,Lenient,0.533,0.364,0.432,16,14,28,44,30
MOSKALEV v. RUSSIA,gemma3:12b,Strict,0.233,0.159,0.189,7,23,37,44,30
MOSKALEV v. RUSSIA,llama3.3:latest,Lenient,0.551,0.614,0.581,27,22,17,44,49
MOSKALEV v. RUSSIA,llama3.3:latest,Strict,0.245,0.273,0.258,12,37,32,44,49
MOSKALEV v. RUSSIA,deepseek-r1:8b,Lenient,0.070,0.159,0.097,7,93,37,44,100
MOSKALEV v. RUSSIA,deepseek-r1:8b,Strict,0.020,0.045,0.028,2,98,42,44,100
MOSKALEV v. RUSSIA,mistral:latest,Lenient,0.265,0.500,0.346,22,61,22,44,83
MOSKALEV v. RUSSIA,mistral:latest,Strict,0.157,0.295,0.205,13,70,31,44,83
MOSKALEV v. RUSSIA,incept5/llama3.1-claude:latest,Lenient,0.531,0.386,0.447,17,15,27,44,32
MOSKALEV v. RUSSIA,incept5/llama3.1-claude:latest,Strict,0.438,0.318,0.368,14,18,30,44,32
MOSKALEV v. RUSSIA,chevalblanc/claude-3-haiku:latest,Lenient,0.682,0.341,0.455,15,7,29,44,22
MOSKALEV v. RUSSIA,chevalblanc/claude-3-haiku:latest,Strict,0.182,0.091,0.121,4,18,40,44,22
MOSKALEV v. RUSSIA,llama4:16x17b,Lenient,0.000,0.000,0.000,0,3,44,44,3
MOSKALEV v. RUSSIA,llama4:16x17b,Strict,0.000,0.000,0.000,0,3,44,44,3
MOSKALEV v. RUSSIA,mixtral:8x7b,Lenient,0.600,0.341,0.435,15,10,29,44,25
MOSKALEV v. RUSSIA,mixtral:8x7b,Strict,0.360,0.205,0.261,9,16,35,44,25
MOSKALEV v. RUSSIA,dolphin3:8b,Lenient,0.222,0.091,0.129,4,14,40,44,18
MOSKALEV v. RUSSIA,dolphin3:8b,Strict,0.111,0.045,0.065,2,16,42,44,18
MOSKALEV v. RUSSIA,dolphin-mixtral:8x7b,Lenient,0.733,0.250,0.373,11,4,33,44,15
MOSKALEV v. RUSSIA,dolphin-mixtral:8x7b,Strict,0.533,0.182,0.271,8,7,36,44,15
MURUZHEVA v. RUSSIA,gemma3:1b,Lenient,0.000,0.000,0.000,0,0,170,170,0
MURUZHEVA v. RUSSIA,gemma3:1b,Strict,0.000,0.000,0.000,0,0,170,170,0
MURUZHEVA v. RUSSIA,gemma3:4b,Lenient,0.574,0.206,0.303,35,26,135,170,61
MURUZHEVA v. RUSSIA,gemma3:4b,Strict,0.459,0.165,0.242,28,33,142,170,61
MURUZHEVA v. RUSSIA,gemma3:12b,Lenient,0.677,0.247,0.362,42,20,128,170,62
MURUZHEVA v. RUSSIA,gemma3:12b,Strict,0.468,0.171,0.250,29,33,141,170,62
MURUZHEVA v. RUSSIA,llama3.3:latest,Lenient,0.681,0.453,0.544,77,36,93,170,113
MURUZHEVA v. RUSSIA,llama3.3:latest,Strict,0.336,0.224,0.269,38,75,132,170,113
MURUZHEVA v. RUSSIA,deepseek-r1:8b,Lenient,0.727,0.188,0.299,32,12,138,170,44
MURUZHEVA v. RUSSIA,deepseek-r1:8b,Strict,0.341,0.088,0.140,15,29,155,170,44
MURUZHEVA v. RUSSIA,mistral:latest,Lenient,0.522,0.347,0.417,59,54,111,170,113
MURUZHEVA v. RUSSIA,mistral:latest,Strict,0.407,0.271,0.325,46,67,124,170,113
MURUZHEVA v. RUSSIA,incept5/llama3.1-claude:latest,Lenient,0.588,0.235,0.336,40,28,130,170,68
MURUZHEVA v. RUSSIA,incept5/llama3.1-claude:latest,Strict,0.309,0.124,0.176,21,47,149,170,68
MURUZHEVA v. RUSSIA,chevalblanc/claude-3-haiku:latest,Lenient,0.667,0.059,0.108,10,5,160,170,15
MURUZHEVA v. RUSSIA,chevalblanc/claude-3-haiku:latest,Strict,0.467,0.041,0.076,7,8,163,170,15
MURUZHEVA v. RUSSIA,llama4:16x17b,Lenient,0.000,0.000,0.000,0,0,170,170,0
MURUZHEVA v. RUSSIA,llama4:16x17b,Strict,0.000,0.000,0.000,0,0,170,170,0
MURUZHEVA v. RUSSIA,mixtral:8x7b,Lenient,0.767,0.194,0.310,33,10,137,170,43
MURUZHEVA v. RUSSIA,mixtral:8x7b,Strict,0.279,0.071,0.113,12,31,158,170,43
MURUZHEVA v. RUSSIA,dolphin3:8b,Lenient,0.000,0.000,0.000,0,15,170,170,15
MURUZHEVA v. RUSSIA,dolphin3:8b,Strict,0.000,0.000,0.000,0,15,170,170,15
MURUZHEVA v. RUSSIA,dolphin-mixtral:8x7b,Lenient,0.659,0.318,0.429,54,28,116,170,82
MURUZHEVA v. RUSSIA,dolphin-mixtral:8x7b,Strict,0.305,0.147,0.198,25,57,145,170,82
O.C.I. AND OTHERS v. ROMANIA,gemma3:1b,Lenient,0.227,0.052,0.084,5,17,92,97,22
O.C.I. AND OTHERS v. ROMANIA,gemma3:1b,Strict,0.091,0.021,0.034,2,20,95,97,22
O.C.I. AND OTHERS v. ROMANIA,gemma3:4b,Lenient,0.485,0.165,0.246,16,17,81,97,33
O.C.I. AND OTHERS v. ROMANIA,gemma3:4b,Strict,0.212,0.072,0.108,7,26,90,97,33
O.C.I. AND OTHERS v. ROMANIA,gemma3:12b,Lenient,0.711,0.278,0.400,27,11,70,97,38
O.C.I. AND OTHERS v. ROMANIA,gemma3:12b,Strict,0.474,0.186,0.267,18,20,79,97,38
O.C.I. AND OTHERS v. ROMANIA,llama3.3:latest,Lenient,0.714,0.464,0.563,45,18,52,97,63
O.C.I. AND OTHERS v. ROMANIA,llama3.3:latest,Strict,0.508,0.330,0.400,32,31,65,97,63
O.C.I. AND OTHERS v. ROMANIA,deepseek-r1:8b,Lenient,0.100,0.052,0.068,5,45,92,97,50
O.C.I. AND OTHERS v. ROMANIA,deepseek-r1:8b,Strict,0.060,0.031,0.041,3,47,94,97,50
O.C.I. AND OTHERS v. ROMANIA,mistral:latest,Lenient,0.000,0.000,0.000,0,11,97,97,11
O.C.I. AND OTHERS v. ROMANIA,mistral:latest,Strict,0.000,0.000,0.000,0,11,97,97,11
O.C.I. AND OTHERS v. ROMANIA,incept5/llama3.1-claude:latest,Lenient,0.600,0.247,0.350,24,16,73,97,40
O.C.I. AND OTHERS v. ROMANIA,incept5/llama3.1-claude:latest,Strict,0.425,0.175,0.248,17,23,80,97,40
O.C.I. AND OTHERS v. ROMANIA,chevalblanc/claude-3-haiku:latest,Lenient,0.647,0.113,0.193,11,6,86,97,17
O.C.I. AND OTHERS v. ROMANIA,chevalblanc/claude-3-haiku:latest,Strict,0.588,0.103,0.175,10,7,87,97,17
O.C.I. AND OTHERS v. ROMANIA,llama4:16x17b,Lenient,0.000,0.000,0.000,0,0,97,97,0
O.C.I. AND OTHERS v. ROMANIA,llama4:16x17b,Strict,0.000,0.000,0.000,0,0,97,97,0
O.C.I. AND OTHERS v. ROMANIA,mixtral:8x7b,Lenient,0.565,0.134,0.217,13,10,84,97,23
O.C.I. AND OTHERS v. ROMANIA,mixtral:8x7b,Strict,0.043,0.010,0.017,1,22,96,97,23
O.C.I. AND OTHERS v. ROMANIA,dolphin3:8b,Lenient,0.933,0.144,0.250,14,1,83,97,15
O.C.I. AND OTHERS v. ROMANIA,dolphin3:8b,Strict,0.533,0.082,0.143,8,7,89,97,15
O.C.I. AND OTHERS v. ROMANIA,dolphin-mixtral:8x7b,Lenient,0.731,0.196,0.309,19,7,78,97,26
O.C.I. AND OTHERS v. ROMANIA,dolphin-mixtral:8x7b,Strict,0.538,0.144,0.228,14,12,83,97,26
OTGON v. THE REPUBLIC OF MOLDOVA,gemma3:1b,Lenient,0.226,0.240,0.233,12,41,38,50,53
OTGON v. THE REPUBLIC OF MOLDOVA,gemma3:1b,Strict,0.170,0.180,0.175,9,44,41,50,53
OTGON v. THE REPUBLIC OF MOLDOVA,gemma3:4b,Lenient,0.000,0.000,0.000,0,0,50,50,0
OTGON v. THE REPUBLIC OF MOLDOVA,gemma3:4b,Strict,0.000,0.000,0.000,0,0,50,50,0
OTGON v. THE REPUBLIC OF MOLDOVA,gemma3:12b,Lenient,0.405,0.600,0.484,30,44,20,50,74
OTGON v. THE REPUBLIC OF MOLDOVA,gemma3:12b,Strict,0.176,0.260,0.210,13,61,37,50,74
OTGON v. THE REPUBLIC OF MOLDOVA,llama3.3:latest,Lenient,0.600,0.420,0.494,21,14,29,50,35
OTGON v. THE REPUBLIC OF MOLDOVA,llama3.3:latest,Strict,0.171,0.120,0.141,6,29,44,50,35
OTGON v. THE REPUBLIC OF MOLDOVA,deepseek-r1:8b,Lenient,0.327,0.340,0.333,17,35,33,50,52
OTGON v. THE REPUBLIC OF MOLDOVA,deepseek-r1:8b,Strict,0.212,0.220,0.216,11,41,39,50,52
OTGON v. THE REPUBLIC OF MOLDOVA,mistral:latest,Lenient,0.420,0.420,0.420,21,29,29,50,50
OTGON v. THE REPUBLIC OF MOLDOVA,mistral:latest,Strict,0.240,0.240,0.240,12,38,38,50,50
OTGON v. THE REPUBLIC OF MOLDOVA,incept5/llama3.1-claude:latest,Lenient,0.700,0.420,0.525,21,9,29,50,30
OTGON v. THE REPUBLIC OF MOLDOVA,incept5/llama3.1-claude:latest,Strict,0.467,0.280,0.350,14,16,36,50,30
OTGON v. THE REPUBLIC OF MOLDOVA,chevalblanc/claude-3-haiku:latest,Lenient,0.533,0.160,0.246,8,7,42,50,15
OTGON v. THE REPUBLIC OF MOLDOVA,chevalblanc/claude-3-haiku:latest,Strict,0.200,0.060,0.092,3,12,47,50,15
OTGON v. THE REPUBLIC OF MOLDOVA,llama4:16x17b,Lenient,0.667,0.320,0.432,16,8,34,50,24
OTGON v. THE REPUBLIC OF MOLDOVA,llama4:16x17b,Strict,0.417,0.200,0.270,10,14,40,50,24
OTGON v. THE REPUBLIC OF MOLDOVA,mixtral:8x7b,Lenient,0.632,0.240,0.348,12,7,38,50,19
OTGON v. THE REPUBLIC OF MOLDOVA,mixtral:8x7b,Strict,0.368,0.140,0.203,7,12,43,50,19
OTGON v. THE REPUBLIC OF MOLDOVA,dolphin3:8b,Lenient,0.600,0.240,0.343,12,8,38,50,20
OTGON v. THE REPUBLIC OF MOLDOVA,dolphin3:8b,Strict,0.200,0.080,0.114,4,16,46,50,20
OTGON v. THE REPUBLIC OF MOLDOVA,dolphin-mixtral:8x7b,Lenient,0.440,0.220,0.293,11,14,39,50,25
OTGON v. THE REPUBLIC OF MOLDOVA,dolphin-mixtral:8x7b,Strict,0.160,0.080,0.107,4,21,46,50,25
PAKHTUSOV v. RUSSIA,gemma3:1b,Lenient,0.341,0.280,0.308,14,27,36,50,41
PAKHTUSOV v. RUSSIA,gemma3:1b,Strict,0.244,0.200,0.220,10,31,40,50,41
PAKHTUSOV v. RUSSIA,gemma3:4b,Lenient,0.259,0.440,0.326,22,63,28,50,85
PAKHTUSOV v. RUSSIA,gemma3:4b,Strict,0.200,0.340,0.252,17,68,33,50,85
PAKHTUSOV v. RUSSIA,gemma3:12b,Lenient,0.650,0.520,0.578,26,14,24,50,40
PAKHTUSOV v. RUSSIA,gemma3:12b,Strict,0.325,0.260,0.289,13,27,37,50,40
PAKHTUSOV v. RUSSIA,llama3.3:latest,Lenient,0.600,0.660,0.629,33,22,17,50,55
PAKHTUSOV v. RUSSIA,llama3.3:latest,Strict,0.291,0.320,0.305,16,39,34,50,55
PAKHTUSOV v. RUSSIA,deepseek-r1:8b,Lenient,0.450,0.180,0.257,9,11,41,50,20
PAKHTUSOV v. RUSSIA,deepseek-r1:8b,Strict,0.200,0.080,0.114,4,16,46,50,20
PAKHTUSOV v. RUSSIA,mistral:latest,Lenient,0.305,0.500,0.379,25,57,25,50,82
PAKHTUSOV v. RUSSIA,mistral:latest,Strict,0.220,0.360,0.273,18,64,32,50,82
PAKHTUSOV v. RUSSIA,incept5/llama3.1-claude:latest,Lenient,0.750,0.420,0.538,21,7,29,50,28
PAKHTUSOV v. RUSSIA,incept5/llama3.1-claude:latest,Strict,0.500,0.280,0.359,14,14,36,50,28
PAKHTUSOV v. RUSSIA,chevalblanc/claude-3-haiku:latest,Lenient,0.667,0.200,0.308,10,5,40,50,15
PAKHTUSOV v. RUSSIA,chevalblanc/claude-3-haiku:latest,Strict,0.267,0.080,0.123,4,11,46,50,15
PAKHTUSOV v. RUSSIA,llama4:16x17b,Lenient,0.667,0.040,0.075,2,1,48,50,3
PAKHTUSOV v. RUSSIA,llama4:16x17b,Strict,0.667,0.040,0.075,2,1,48,50,3
PAKHTUSOV v. RUSSIA,mixtral:8x7b,Lenient,0.733,0.220,0.338,11,4,39,50,15
PAKHTUSOV v. RUSSIA,mixtral:8x7b,Strict,0.267,0.080,0.123,4,11,46,50,15
PAKHTUSOV v. RUSSIA,dolphin3:8b,Lenient,0.533,0.160,0.246,8,7,42,50,15
PAKHTUSOV v. RUSSIA,dolphin3:8b,Strict,0.333,0.100,0.154,5,10,45,50,15
PAKHTUSOV v. RUSSIA,dolphin-mixtral:8x7b,Lenient,0.591,0.260,0.361,13,9,37,50,22
PAKHTUSOV v. RUSSIA,dolphin-mixtral:8x7b,Strict,0.318,0.140,0.194,7,15,43,50,22
PANYUSHKINY v. RUSSIA,gemma3:1b,Lenient,0.000,0.000,0.000,0,0,129,129,0
PANYUSHKINY v. RUSSIA,gemma3:1b,Strict,0.000,0.000,0.000,0,0,129,129,0
PANYUSHKINY v. RUSSIA,gemma3:4b,Lenient,0.189,0.109,0.138,14,60,115,129,74
PANYUSHKINY v. RUSSIA,gemma3:4b,Strict,0.135,0.078,0.099,10,64,119,129,74
PANYUSHKINY v. RUSSIA,gemma3:12b,Lenient,0.703,0.496,0.582,64,27,65,129,91
PANYUSHKINY v. RUSSIA,gemma3:12b,Strict,0.473,0.333,0.391,43,48,86,129,91
PANYUSHKINY v. RUSSIA,llama3.3:latest,Lenient,0.760,0.612,0.678,79,25,50,129,104
PANYUSHKINY v. RUSSIA,llama3.3:latest,Strict,0.615,0.496,0.549,64,40,65,129,104
PANYUSHKINY v. RUSSIA,deepseek-r1:8b,Lenient,0.585,0.295,0.392,38,27,91,129,65
PANYUSHKINY v. RUSSIA,deepseek-r1:8b,Strict,0.262,0.132,0.175,17,48,112,129,65
PANYUSHKINY v. RUSSIA,mistral:latest,Lenient,0.465,0.519,0.491,67,77,62,129,144
PANYUSHKINY v. RUSSIA,mistral:latest,Strict,0.299,0.333,0.315,43,101,86,129,144
PANYUSHKINY v. RUSSIA,incept5/llama3.1-claude:latest,Lenient,0.568,0.419,0.482,54,41,75,129,95
PANYUSHKINY v. RUSSIA,incept5/llama3.1-claude:latest,Strict,0.379,0.279,0.321,36,59,93,129,95
PANYUSHKINY v. RUSSIA,chevalblanc/claude-3-haiku:latest,Lenient,0.759,0.171,0.278,22,7,107,129,29
PANYUSHKINY v. RUSSIA,chevalblanc/claude-3-haiku:latest,Strict,0.345,0.078,0.127,10,19,119,129,29
PANYUSHKINY v. RUSSIA,llama4:16x17b,Lenient,0.778,0.054,0.101,7,2,122,129,9
PANYUSHKINY v. RUSSIA,llama4:16x17b,Strict,0.667,0.047,0.087,6,3,123,129,9
PANYUSHKINY v. RUSSIA,mixtral:8x7b,Lenient,0.667,0.016,0.030,2,1,127,129,3
PANYUSHKINY v. RUSSIA,mixtral:8x7b,Strict,0.333,0.008,0.015,1,2,128,129,3
PANYUSHKINY v. RUSSIA,dolphin3:8b,Lenient,0.769,0.078,0.141,10,3,119,129,13
PANYUSHKINY v. RUSSIA,dolphin3:8b,Strict,0.615,0.062,0.113,8,5,121,129,13
PANYUSHKINY v. RUSSIA,dolphin-mixtral:8x7b,Lenient,0.649,0.388,0.485,50,27,79,129,77
PANYUSHKINY v. RUSSIA,dolphin-mixtral:8x7b,Strict,0.299,0.178,0.223,23,54,106,129,77
RESIN v. RUSSIA,gemma3:1b,Lenient,0.211,0.118,0.151,8,30,60,68,38
RESIN v. RUSSIA,gemma3:1b,Strict,0.079,0.044,0.057,3,35,65,68,38
RESIN v. RUSSIA,gemma3:4b,Lenient,0.524,0.162,0.247,11,10,57,68,21
RESIN v. RUSSIA,gemma3:4b,Strict,0.190,0.059,0.090,4,17,64,68,21
RESIN v. RUSSIA,gemma3:12b,Lenient,0.538,0.309,0.393,21,18,47,68,39
RESIN v. RUSSIA,gemma3:12b,Strict,0.333,0.191,0.243,13,26,55,68,39
RESIN v. RUSSIA,llama3.3:latest,Lenient,0.384,0.412,0.397,28,45,40,68,73
RESIN v. RUSSIA,llama3.3:latest,Strict,0.219,0.235,0.227,16,57,52,68,73
RESIN v. RUSSIA,deepseek-r1:8b,Lenient,0.105,0.235,0.145,16,136,52,68,152
RESIN v. RUSSIA,deepseek-r1:8b,Strict,0.079,0.176,0.109,12,140,56,68,152
RESIN v. RUSSIA,mistral:latest,Lenient,0.450,0.265,0.333,18,22,50,68,40
RESIN v. RUSSIA,mistral:latest,Strict,0.175,0.103,0.130,7,33,61,68,40
RESIN v. RUSSIA,incept5/llama3.1-claude:latest,Lenient,0.375,0.265,0.310,18,30,50,68,48
RESIN v. RUSSIA,incept5/llama3.1-claude:latest,Strict,0.167,0.118,0.138,8,40,60,68,48
RESIN v. RUSSIA,chevalblanc/claude-3-haiku:latest,Lenient,0.576,0.279,0.376,19,14,49,68,33
RESIN v. RUSSIA,chevalblanc/claude-3-haiku:latest,Strict,0.242,0.118,0.158,8,25,60,68,33
RESIN v. RUSSIA,llama4:16x17b,Lenient,0.000,0.000,0.000,0,3,68,68,3
RESIN v. RUSSIA,llama4:16x17b,Strict,0.000,0.000,0.000,0,3,68,68,3
RESIN v. RUSSIA,mixtral:8x7b,Lenient,0.543,0.279,0.369,19,16,49,68,35
RESIN v. RUSSIA,mixtral:8x7b,Strict,0.143,0.074,0.097,5,30,63,68,35
RESIN v. RUSSIA,dolphin3:8b,Lenient,0.522,0.353,0.421,24,22,44,68,46
RESIN v. RUSSIA,dolphin3:8b,Strict,0.326,0.221,0.263,15,31,53,68,46
RESIN v. RUSSIA,dolphin-mixtral:8x7b,Lenient,0.526,0.147,0.230,10,9,58,68,19
RESIN v. RUSSIA,dolphin-mixtral:8x7b,Strict,0.316,0.088,0.138,6,13,62,68,19
S.N. v. RUSSIA,gemma3:1b,Lenient,0.150,0.018,0.032,3,17,164,167,20
S.N. v. RUSSIA,gemma3:1b,Strict,0.000,0.000,0.000,0,20,167,167,20
S.N. v. RUSSIA,gemma3:4b,Lenient,0.000,0.000,0.000,0,24,167,167,24
S.N. v. RUSSIA,gemma3:4b,Strict,0.000,0.000,0.000,0,24,167,167,24
S.N. v. RUSSIA,gemma3:12b,Lenient,0.143,0.018,0.032,3,18,164,167,21
S.N. v. RUSSIA,gemma3:12b,Strict,0.048,0.006,0.011,1,20,166,167,21
S.N. v. RUSSIA,llama3.3:latest,Lenient,0.091,0.006,0.011,1,10,166,167,11
S.N. v. RUSSIA,llama3.3:latest,Strict,0.000,0.000,0.000,0,11,167,167,11
S.N. v. RUSSIA,deepseek-r1:8b,Lenient,0.160,0.024,0.042,4,21,163,167,25
S.N. v. RUSSIA,deepseek-r1:8b,Strict,0.160,0.024,0.042,4,21,163,167,25
S.N. v. RUSSIA,mistral:latest,Lenient,0.170,0.048,0.075,8,39,159,167,47
S.N. v. RUSSIA,mistral:latest,Strict,0.106,0.030,0.047,5,42,162,167,47
S.N. v. RUSSIA,incept5/llama3.1-claude:latest,Lenient,0.154,0.012,0.022,2,11,165,167,13
