Model,Annotation_Type,Evaluation_Mode,Precision,Recall,F1_Score,True_Positives,False_Positives,False_Negatives,Gold_Count,Predicted_Count
chevalblanc/claude-3-haiku:latest,Event,Lenient,0.698,0.293,0.412,180,78,435,615,258
chevalblanc/claude-3-haiku:latest,Event_who,Lenient,0.246,0.073,0.113,44,135,557,601,179
chevalblanc/claude-3-haiku:latest,Event_when,Lenient,0.798,0.177,0.290,95,24,441,536,119
chevalblanc/claude-3-haiku:latest,Event_what,Lenient,0.614,0.149,0.240,113,71,643,756,184
chevalblanc/claude-3-haiku:latest,OVERALL,Lenient,0.584,0.172,0.266,432,308,2076,2508,740
chevalblanc/claude-3-haiku:latest,Event,Strict,0.446,0.187,0.263,115,143,500,615,258
chevalblanc/claude-3-haiku:latest,Event_who,Strict,0.056,0.017,0.026,10,169,591,601,179
chevalblanc/claude-3-haiku:latest,Event_when,Strict,0.050,0.011,0.018,6,113,530,536,119
chevalblanc/claude-3-haiku:latest,Event_what,Strict,0.250,0.061,0.098,46,138,710,756,184
chevalblanc/claude-3-haiku:latest,OVERALL,Strict,0.239,0.071,0.109,177,563,2331,2508,740
deepseek-r1:8b,Event,Lenient,0.295,0.333,0.313,205,489,410,615,694
deepseek-r1:8b,Event_who,Lenient,0.128,0.038,0.059,23,156,578,601,179
deepseek-r1:8b,Event_when,Lenient,0.667,0.250,0.364,134,67,402,536,201
deepseek-r1:8b,Event_what,Lenient,0.441,0.164,0.239,124,157,632,756,281
deepseek-r1:8b,OVERALL,Lenient,0.359,0.194,0.252,486,869,2022,2508,1355
deepseek-r1:8b,Event,Strict,0.233,0.263,0.248,162,532,453,615,694
deepseek-r1:8b,Event_who,Strict,0.045,0.013,0.021,8,171,593,601,179
deepseek-r1:8b,Event_when,Strict,0.060,0.022,0.033,12,189,524,536,201
deepseek-r1:8b,Event_what,Strict,0.149,0.056,0.081,42,239,714,756,281
deepseek-r1:8b,OVERALL,Strict,0.165,0.089,0.116,224,1131,2284,2508,1355
dolphin-mixtral:8x7b,Event,Lenient,0.637,0.328,0.433,202,115,413,615,317
dolphin-mixtral:8x7b,Event_who,Lenient,0.116,0.025,0.041,15,114,586,601,129
dolphin-mixtral:8x7b,Event_when,Lenient,0.725,0.162,0.265,87,33,449,536,120
dolphin-mixtral:8x7b,Event_what,Lenient,0.696,0.146,0.241,110,48,646,756,158
dolphin-mixtral:8x7b,OVERALL,Lenient,0.572,0.165,0.256,414,310,2094,2508,724
dolphin-mixtral:8x7b,Event,Strict,0.353,0.182,0.240,112,205,503,615,317
dolphin-mixtral:8x7b,Event_who,Strict,0.031,0.007,0.011,4,125,597,601,129
dolphin-mixtral:8x7b,Event_when,Strict,0.492,0.110,0.180,59,61,477,536,120
dolphin-mixtral:8x7b,Event_what,Strict,0.177,0.037,0.061,28,130,728,756,158
dolphin-mixtral:8x7b,OVERALL,Strict,0.280,0.081,0.126,203,521,2305,2508,724
dolphin3:8b,Event,Lenient,0.464,0.220,0.298,135,156,480,615,291
dolphin3:8b,Event_who,Lenient,0.158,0.025,0.043,15,80,586,601,95
dolphin3:8b,Event_when,Lenient,0.786,0.123,0.213,66,18,470,536,84
dolphin3:8b,Event_what,Lenient,0.532,0.056,0.101,42,37,714,756,79
dolphin3:8b,OVERALL,Lenient,0.470,0.103,0.169,258,291,2250,2508,549
dolphin3:8b,Event,Strict,0.302,0.143,0.194,88,203,527,615,291
dolphin3:8b,Event_who,Strict,0.095,0.015,0.026,9,86,592,601,95
dolphin3:8b,Event_when,Strict,0.464,0.073,0.126,39,45,497,536,84
dolphin3:8b,Event_what,Strict,0.215,0.022,0.041,17,62,739,756,79
dolphin3:8b,OVERALL,Strict,0.279,0.061,0.100,153,396,2355,2508,549
gemma3:12b,Event,Lenient,0.695,0.446,0.543,274,120,341,615,394
gemma3:12b,Event_who,Lenient,0.264,0.166,0.204,100,279,501,601,379
gemma3:12b,Event_when,Lenient,0.720,0.384,0.501,206,80,330,536,286
gemma3:12b,Event_what,Lenient,0.474,0.220,0.300,166,184,590,756,350
gemma3:12b,OVERALL,Lenient,0.529,0.297,0.381,746,663,1762,2508,1409
gemma3:12b,Event,Strict,0.518,0.332,0.404,204,190,411,615,394
gemma3:12b,Event_who,Strict,0.108,0.068,0.084,41,338,560,601,379
gemma3:12b,Event_when,Strict,0.664,0.354,0.462,190,96,346,536,286
gemma3:12b,Event_what,Strict,0.023,0.011,0.014,8,342,748,756,350
gemma3:12b,OVERALL,Strict,0.314,0.177,0.226,443,966,2065,2508,1409
gemma3:1b,Event,Lenient,0.345,0.141,0.201,87,165,528,615,252
gemma3:1b,Event_who,Lenient,0.055,0.015,0.023,9,156,592,601,165
gemma3:1b,Event_when,Lenient,0.347,0.138,0.198,74,139,462,536,213
gemma3:1b,Event_what,Lenient,0.295,0.034,0.062,26,62,730,756,88
gemma3:1b,OVERALL,Lenient,0.273,0.078,0.122,196,522,2312,2508,718
gemma3:1b,Event,Strict,0.250,0.102,0.145,63,189,552,615,252
gemma3:1b,Event_who,Strict,0.030,0.008,0.013,5,160,596,601,165
gemma3:1b,Event_when,Strict,0.249,0.099,0.142,53,160,483,536,213
gemma3:1b,Event_what,Strict,0.068,0.008,0.014,6,82,750,756,88
gemma3:1b,OVERALL,Strict,0.177,0.051,0.079,127,591,2381,2508,718
gemma3:4b,Event,Lenient,0.503,0.315,0.388,194,192,421,615,386
gemma3:4b,Event_who,Lenient,0.085,0.040,0.054,24,259,577,601,283
gemma3:4b,Event_when,Lenient,0.506,0.244,0.330,131,128,405,536,259
gemma3:4b,Event_what,Lenient,0.363,0.082,0.134,62,109,694,756,171
gemma3:4b,OVERALL,Lenient,0.374,0.164,0.228,411,688,2097,2508,1099
gemma3:4b,Event,Strict,0.269,0.169,0.208,104,282,511,615,386
gemma3:4b,Event_who,Strict,0.049,0.023,0.032,14,269,587,601,283
gemma3:4b,Event_when,Strict,0.459,0.222,0.299,119,140,417,536,259
gemma3:4b,Event_what,Strict,0.146,0.033,0.054,25,146,731,756,171
gemma3:4b,OVERALL,Strict,0.238,0.104,0.145,262,837,2246,2508,1099
incept5/llama3.1-claude:latest,Event,Lenient,0.583,0.447,0.506,275,197,340,615,472
incept5/llama3.1-claude:latest,Event_who,Lenient,0.134,0.070,0.092,42,271,559,601,313
incept5/llama3.1-claude:latest,Event_when,Lenient,0.695,0.153,0.251,82,36,454,536,118
incept5/llama3.1-claude:latest,Event_what,Lenient,0.453,0.185,0.263,140,169,616,756,309
incept5/llama3.1-claude:latest,OVERALL,Lenient,0.445,0.215,0.290,539,673,1969,2508,1212
incept5/llama3.1-claude:latest,Event,Strict,0.472,0.363,0.410,223,249,392,615,472
incept5/llama3.1-claude:latest,Event_who,Strict,0.029,0.015,0.020,9,304,592,601,313
incept5/llama3.1-claude:latest,Event_when,Strict,0.466,0.103,0.168,55,63,481,536,118
incept5/llama3.1-claude:latest,Event_what,Strict,0.194,0.079,0.113,60,249,696,756,309
incept5/llama3.1-claude:latest,OVERALL,Strict,0.286,0.138,0.187,347,865,2161,2508,1212
llama3.3:latest,Event,Lenient,0.624,0.509,0.560,313,189,302,615,502
llama3.3:latest,Event_who,Lenient,0.226,0.131,0.166,79,270,522,601,349
llama3.3:latest,Event_when,Lenient,0.817,0.433,0.566,232,52,304,536,284
llama3.3:latest,Event_what,Lenient,0.678,0.365,0.475,276,131,480,756,407
llama3.3:latest,OVERALL,Lenient,0.584,0.359,0.444,900,642,1608,2508,1542
llama3.3:latest,Event,Strict,0.550,0.449,0.494,276,226,339,615,502
llama3.3:latest,Event_who,Strict,0.060,0.035,0.044,21,328,580,601,349
llama3.3:latest,Event_when,Strict,0.201,0.106,0.139,57,227,479,536,284
llama3.3:latest,Event_what,Strict,0.241,0.130,0.169,98,309,658,756,407
llama3.3:latest,OVERALL,Strict,0.293,0.180,0.223,452,1090,2056,2508,1542
llama4:16x17b,Event,Lenient,0.607,0.028,0.053,17,11,598,615,28
llama4:16x17b,Event_who,Lenient,0.190,0.007,0.013,4,17,597,601,21
llama4:16x17b,Event_when,Lenient,0.625,0.019,0.036,10,6,526,536,16
llama4:16x17b,Event_what,Lenient,0.632,0.016,0.031,12,7,744,756,19
llama4:16x17b,OVERALL,Lenient,0.512,0.017,0.033,43,41,2465,2508,84
llama4:16x17b,Event,Strict,0.571,0.026,0.050,16,12,599,615,28
llama4:16x17b,Event_who,Strict,0.000,0.000,0.000,0,21,601,601,21
llama4:16x17b,Event_when,Strict,0.625,0.019,0.036,10,6,526,536,16
llama4:16x17b,Event_what,Strict,0.211,0.005,0.010,4,15,752,756,19
llama4:16x17b,OVERALL,Strict,0.357,0.012,0.023,30,54,2478,2508,84
mistral:latest,Event,Lenient,0.355,0.616,0.450,379,689,236,615,1068
mistral:latest,Event_who,Lenient,0.113,0.093,0.102,56,440,545,601,496
mistral:latest,Event_when,Lenient,0.644,0.396,0.490,212,117,324,536,329
mistral:latest,Event_what,Lenient,0.292,0.241,0.264,182,441,574,756,623
mistral:latest,OVERALL,Lenient,0.329,0.331,0.330,829,1687,1679,2508,2516
mistral:latest,Event,Strict,0.287,0.498,0.364,306,762,309,615,1068
mistral:latest,Event_who,Strict,0.036,0.030,0.033,18,478,583,601,496
mistral:latest,Event_when,Strict,0.602,0.369,0.458,198,131,338,536,329
mistral:latest,Event_what,Strict,0.077,0.063,0.070,48,575,708,756,623
mistral:latest,OVERALL,Strict,0.227,0.227,0.227,570,1946,1938,2508,2516
mixtral:8x7b,Event,Lenient,0.712,0.249,0.369,153,62,462,615,215
mixtral:8x7b,Event_who,Lenient,0.168,0.038,0.062,23,114,578,601,137
mixtral:8x7b,Event_when,Lenient,0.821,0.239,0.370,128,28,408,536,156
mixtral:8x7b,Event_what,Lenient,0.699,0.132,0.222,100,43,656,756,143
mixtral:8x7b,OVERALL,Lenient,0.621,0.161,0.256,404,247,2104,2508,651
mixtral:8x7b,Event,Strict,0.502,0.176,0.260,108,107,507,615,215
mixtral:8x7b,Event_who,Strict,0.051,0.012,0.019,7,130,594,601,137
mixtral:8x7b,Event_when,Strict,0.032,0.009,0.014,5,151,531,536,156
mixtral:8x7b,Event_what,Strict,0.154,0.029,0.049,22,121,734,756,143
mixtral:8x7b,OVERALL,Strict,0.218,0.057,0.090,142,509,2366,2508,651
